"state","s_fips","county","c_fips","happening","happening_oppose"
"INDIANA",18,"MONROE COUNTY",105,75.08,9.403
"IOWA",19,"JONES COUNTY",105,66.132,14.463
"ALASKA",2,"HOONAH-ANGOON CENSUS AREA",105,75.606,10.012
"KANSAS",20,"LINCOLN COUNTY",105,64.881,17.46
"KENTUCKY",21,"HICKMAN COUNTY",105,58.635,17.855
"LOUISIANA",22,"TANGIPAHOA PARISH",105,64.611,13.726
"MICHIGAN",26,"MASON COUNTY",105,65.134,15.793
"MINNESOTA",27,"NOBLES COUNTY",105,69.62,12.522
"MISSISSIPPI",28,"OKTIBBEHA COUNTY",105,68.719,12.055
"MISSOURI",29,"LACLEDE COUNTY",105,61.179,18.987
"MONTANA",30,"VALLEY COUNTY",105,63.889,18.042
"NEBRASKA",31,"KIMBALL COUNTY",105,63.17,18.016
"NEW YORK",36,"SULLIVAN COUNTY",105,68.37,12.421
"NORTH CAROLINA",37,"LEE COUNTY",105,69.991,12.189
"NORTH DAKOTA",38,"WILLIAMS COUNTY",105,59.461,21.256
"OHIO",39,"MEIGS COUNTY",105,53.703,18.108
"OKLAHOMA",40,"NOWATA COUNTY",105,61.274,19.047
"PENNSYLVANIA",42,"POTTER COUNTY",105,60.316,17.839
"SOUTH DAKOTA",46,"PERKINS COUNTY",105,65.559,16.599
"TENNESSEE",47,"LOUDON COUNTY",105,60.031,19.534
"TEXAS",48,"CROCKETT COUNTY",105,65.669,15.404
"ARKANSAS",5,"PERRY COUNTY",105,62.575,17.831
"VIRGINIA",51,"LEE COUNTY",105,59.109,19.378
"WEST VIRGINIA",54,"WIRT COUNTY",105,57.697,21.011
"WISCONSIN",55,"ROCK COUNTY",105,71.691,11.316
"CALIFORNIA",6,"TRINITY COUNTY",105,72.073,12.051
"COLORADO",8,"RIO GRANDE COUNTY",105,69.982,13.067
"ALABAMA",1,"PICKENS COUNTY",107,65.324,11.735
"FLORIDA",12,"PUTNAM COUNTY",107,59.361,15.714
"GEORGIA",13,"EMANUEL COUNTY",107,65.814,12.712
"ILLINOIS",17,"LOGAN COUNTY",107,62.203,16.805
"INDIANA",18,"MONTGOMERY COUNTY",107,59.666,19.974
"IOWA",19,"KEOKUK COUNTY",107,64.385,16.813
"KANSAS",20,"LINN COUNTY",107,54.733,18.9
"KENTUCKY",21,"HOPKINS COUNTY",107,57.517,18.918
"LOUISIANA",22,"TENSAS PARISH",107,65.915,10.567
"MICHIGAN",26,"MECOSTA COUNTY",107,65.819,15.763
"MINNESOTA",27,"NORMAN COUNTY",107,66.531,14.527
"MISSISSIPPI",28,"PANOLA COUNTY",107,65.155,10.547
"MISSOURI",29,"LAFAYETTE COUNTY",107,61.819,17.732
"MONTANA",30,"WHEATLAND COUNTY",107,64.753,16.127
"NEBRASKA",31,"KNOX COUNTY",107,61.708,18.693
"NEW YORK",36,"TIOGA COUNTY",107,67.994,14.805
"NORTH CAROLINA",37,"LENOIR COUNTY",107,70.437,9.912
"OHIO",39,"MERCER COUNTY",107,57.781,21.979
"OKLAHOMA",40,"OKFUSKEE COUNTY",107,64.208,16.484
"PENNSYLVANIA",42,"SCHUYLKILL COUNTY",107,59.18,18.432
"SOUTH DAKOTA",46,"POTTER COUNTY",107,60.483,19.634
"TENNESSEE",47,"MCMINN COUNTY",107,64.355,16.814
"TEXAS",48,"CROSBY COUNTY",107,65.756,15.037
"ARKANSAS",5,"PHILLIPS COUNTY",107,71.205,7.066
"VIRGINIA",51,"LOUDOUN COUNTY",107,75.863,9.526
"WEST VIRGINIA",54,"WOOD COUNTY",107,59.861,19.529
"WISCONSIN",55,"RUSK COUNTY",107,62.794,15.806
"CALIFORNIA",6,"TULARE COUNTY",107,71.176,11.511
"COLORADO",8,"ROUTT COUNTY",107,72.27,11.256
"ALABAMA",1,"PIKE COUNTY",109,67.493,11.786
"FLORIDA",12,"ST. JOHNS COUNTY",109,64.892,15.969
"GEORGIA",13,"EVANS COUNTY",109,63.642,13.276
"ILLINOIS",17,"MCDONOUGH COUNTY",109,68.6,13.552
"INDIANA",18,"MORGAN COUNTY",109,60.611,19.396
"IOWA",19,"KOSSUTH COUNTY",109,62.864,17.492
"KANSAS",20,"LOGAN COUNTY",109,62.312,19.082
"KENTUCKY",21,"JACKSON COUNTY",109,53.364,22.013
"LOUISIANA",22,"TERREBONNE PARISH",109,61.318,16.413
"MICHIGAN",26,"MENOMINEE COUNTY",109,63.68,16.141
"MINNESOTA",27,"OLMSTED COUNTY",109,72.355,12.066
"MISSISSIPPI",28,"PEARL RIVER COUNTY",109,58.794,18.986
"MISSOURI",29,"LAWRENCE COUNTY",109,62.57,17.706
"MONTANA",30,"WIBAUX COUNTY",109,61.155,19.458
"NEBRASKA",31,"LANCASTER COUNTY",109,74.725,11.818
"NEW YORK",36,"TOMPKINS COUNTY",109,82.95,6.75
"NORTH CAROLINA",37,"LINCOLN COUNTY",109,63.661,17.327
"OHIO",39,"MIAMI COUNTY",109,64.786,17.098
"OKLAHOMA",40,"OKLAHOMA COUNTY",109,67.936,16.012
"PENNSYLVANIA",42,"SNYDER COUNTY",109,64.088,16.451
"SOUTH DAKOTA",46,"ROBERTS COUNTY",109,65.107,12.982
"TENNESSEE",47,"MCNAIRY COUNTY",109,56.915,20.307
"TEXAS",48,"CULBERSON COUNTY",109,73.348,9.544
"ARKANSAS",5,"PIKE COUNTY",109,60.73,19.314
"VIRGINIA",51,"LOUISA COUNTY",109,64.516,14.167
"WEST VIRGINIA",54,"WYOMING COUNTY",109,55.838,21.036
"WISCONSIN",55,"ST. CROIX COUNTY",109,69.309,14.822
"CALIFORNIA",6,"TUOLUMNE COUNTY",109,66.909,15.546
"COLORADO",8,"SAGUACHE COUNTY",109,73.103,11.023
"ALABAMA",1,"BULLOCK COUNTY",11,72.33,6.084
"FLORIDA",12,"BROWARD COUNTY",11,75.613,8.986
"GEORGIA",13,"BANKS COUNTY",11,58.06,20.109
"IDAHO",16,"BINGHAM COUNTY",11,60.995,20.363
"ILLINOIS",17,"BUREAU COUNTY",11,64.421,15.368
"INDIANA",18,"BOONE COUNTY",11,62.657,16.02
"IOWA",19,"BENTON COUNTY",11,67.418,15.938
"KANSAS",20,"BOURBON COUNTY",11,65.422,16.573
"KENTUCKY",21,"BATH COUNTY",11,59.509,18.097
"LOUISIANA",22,"BEAUREGARD PARISH",11,57.175,19.757
"MAINE",23,"KENNEBEC COUNTY",11,72.144,11.671
"MARYLAND",24,"CAROLINE COUNTY",11,62.298,15.982
"MASSACHUSETTS",25,"FRANKLIN COUNTY",11,75.778,9.912
"MICHIGAN",26,"ARENAC COUNTY",11,62.565,17.176
"MINNESOTA",27,"BIG STONE COUNTY",11,60.371,15.735
"MISSISSIPPI",28,"BOLIVAR COUNTY",11,72.087,6.856
"MISSOURI",29,"BARTON COUNTY",11,56.428,20.989
"MONTANA",30,"CARTER COUNTY",11,62.928,19.243
"NEBRASKA",31,"BOONE COUNTY",11,61.167,19.536
"NEVADA",32,"EUREKA COUNTY",11,55.117,19.217
"NEW HAMPSHIRE",33,"HILLSBOROUGH COUNTY",11,73.29,11.166
"NEW JERSEY",34,"CUMBERLAND COUNTY",11,71.709,8.816
"NEW MEXICO",35,"DE BACA COUNTY",11,65.283,16.093
"NEW YORK",36,"CAYUGA COUNTY",11,66.954,13.294
"NORTH CAROLINA",37,"AVERY COUNTY",11,63.712,17.277
"NORTH DAKOTA",38,"BOWMAN COUNTY",11,59.797,20.239
"OHIO",39,"AUGLAIZE COUNTY",11,57.939,21.139
"ARIZONA",4,"GREENLEE COUNTY",11,65.743,15.609
"OKLAHOMA",40,"BLAINE COUNTY",11,59.944,20.193
"OREGON",41,"COOS COUNTY",11,65.809,15
"PENNSYLVANIA",42,"BERKS COUNTY",11,66.849,13.448
"SOUTH CAROLINA",45,"BARNWELL COUNTY",11,65.411,11.641
"SOUTH DAKOTA",46,"BROOKINGS COUNTY",11,69.021,14.256
"TENNESSEE",47,"BRADLEY COUNTY",11,55.754,20.304
"TEXAS",48,"ARMSTRONG COUNTY",11,62.537,19.621
"UTAH",49,"DAVIS COUNTY",11,64.974,17.794
"ARKANSAS",5,"BRADLEY COUNTY",11,65.962,12.857
"VERMONT",50,"FRANKLIN COUNTY",11,68.235,13.814
"VIRGINIA",51,"APPOMATTOX COUNTY",11,63.046,15.907
"WASHINGTON",53,"CLARK COUNTY",11,70.994,13.93
"WEST VIRGINIA",54,"CABELL COUNTY",11,68.695,14.45
"WISCONSIN",55,"BUFFALO COUNTY",11,63.37,14.672
"WYOMING",56,"CROOK COUNTY",11,60.194,21.313
"CALIFORNIA",6,"COLUSA COUNTY",11,70.281,12.002
"COLORADO",8,"BENT COUNTY",11,64.752,16.237
"CONNECTICUT",9,"NEW LONDON COUNTY",11,69.733,12.243
"ALASKA",2,"JUNEAU CITY AND BOROUGH",110,73.773,10.848
"ALABAMA",1,"RANDOLPH COUNTY",111,58.026,17.725
"FLORIDA",12,"ST. LUCIE COUNTY",111,72.999,10.392
"GEORGIA",13,"FANNIN COUNTY",111,60.569,18.098
"ILLINOIS",17,"MCHENRY COUNTY",111,70.125,13.022
"INDIANA",18,"NEWTON COUNTY",111,59.868,18.866
"IOWA",19,"LEE COUNTY",111,64.391,16.674
"KANSAS",20,"LYON COUNTY",111,69.138,14.322
"KENTUCKY",21,"JEFFERSON COUNTY",111,70.53,11.587
"LOUISIANA",22,"UNION PARISH",111,59.822,17.395
"MICHIGAN",26,"MIDLAND COUNTY",111,66.86,16.123
"MINNESOTA",27,"OTTER TAIL COUNTY",111,62.767,16.385
"MISSISSIPPI",28,"PERRY COUNTY",111,57.473,18.234
"MISSOURI",29,"LEWIS COUNTY",111,63.007,16.717
"MONTANA",30,"YELLOWSTONE COUNTY",111,62.639,19.085
"NEBRASKA",31,"LINCOLN COUNTY",111,54.191,19.314
"NEW YORK",36,"ULSTER COUNTY",111,75.029,9.423
"NORTH CAROLINA",37,"MCDOWELL COUNTY",111,64.423,17.469
"OHIO",39,"MONROE COUNTY",111,51.208,18.959
"OKLAHOMA",40,"OKMULGEE COUNTY",111,61.523,16.599
"PENNSYLVANIA",42,"SOMERSET COUNTY",111,60.164,17.153
"SOUTH DAKOTA",46,"SANBORN COUNTY",111,63.806,17.134
"TENNESSEE",47,"MACON COUNTY",111,56.105,20.261
"TEXAS",48,"DALLAM COUNTY",111,60.063,19.626
"ARKANSAS",5,"POINSETT COUNTY",111,62.417,16.688
"VIRGINIA",51,"LUNENBURG COUNTY",111,66.785,11.679
"WISCONSIN",55,"SAUK COUNTY",111,67.864,12.546
"CALIFORNIA",6,"VENTURA COUNTY",111,74.129,10.859
"COLORADO",8,"SAN JUAN COUNTY",111,74.497,12.14
"ALABAMA",1,"RUSSELL COUNTY",113,67.022,10.699
"FLORIDA",12,"SANTA ROSA COUNTY",113,69.899,15.153
"GEORGIA",13,"FAYETTE COUNTY",113,68.96,13.426
"ILLINOIS",17,"MCLEAN COUNTY",113,72.298,12.25
"INDIANA",18,"NOBLE COUNTY",113,58.916,19.658
"IOWA",19,"LINN COUNTY",113,69.779,13.037
"KANSAS",20,"MCPHERSON COUNTY",113,64.197,16.971
"KENTUCKY",21,"JESSAMINE COUNTY",113,62.821,17.471
"LOUISIANA",22,"VERMILION PARISH",113,59.208,16.587
"MICHIGAN",26,"MISSAUKEE COUNTY",113,63.075,17.404
"MINNESOTA",27,"PENNINGTON COUNTY",113,65.051,16.065
"MISSISSIPPI",28,"PIKE COUNTY",113,67.364,10.252
"MISSOURI",29,"LINCOLN COUNTY",113,60.605,18.406
"NEBRASKA",31,"LOGAN COUNTY",113,61.423,19.855
"NEW YORK",36,"WARREN COUNTY",113,71.087,12.83
"NORTH CAROLINA",37,"MACON COUNTY",113,65.009,17.022
"OHIO",39,"MONTGOMERY COUNTY",113,63.421,13.343
"OKLAHOMA",40,"OSAGE COUNTY",113,64.583,16.568
"PENNSYLVANIA",42,"SULLIVAN COUNTY",113,64.767,15.985
"TENNESSEE",47,"MADISON COUNTY",113,65.25,11.886
"TEXAS",48,"DALLAS COUNTY",113,77.356,7.073
"ARKANSAS",5,"POLK COUNTY",113,60.095,20.169
"VIRGINIA",51,"MADISON COUNTY",113,64.978,15.357
"WISCONSIN",55,"SAWYER COUNTY",113,68.477,13.673
"CALIFORNIA",6,"YOLO COUNTY",113,79.835,7.344
"COLORADO",8,"SAN MIGUEL COUNTY",113,77.962,9.557
"ALABAMA",1,"ST. CLAIR COUNTY",115,58.064,20.842
"FLORIDA",12,"SARASOTA COUNTY",115,70.341,12.824
"GEORGIA",13,"FLOYD COUNTY",115,61.623,16.258
"ILLINOIS",17,"MACON COUNTY",115,65.972,14.005
"INDIANA",18,"OHIO COUNTY",115,52.025,19.949
"IOWA",19,"LOUISA COUNTY",115,64.76,15.006
"KANSAS",20,"MARION COUNTY",115,62.35,17.869
"KENTUCKY",21,"JOHNSON COUNTY",115,56.033,21.475
"LOUISIANA",22,"VERNON PARISH",115,60.568,19.414
"MICHIGAN",26,"MONROE COUNTY",115,63.403,15.069
"MINNESOTA",27,"PINE COUNTY",115,65.911,14.735
"MISSISSIPPI",28,"PONTOTOC COUNTY",115,57.448,19.269
"MISSOURI",29,"LINN COUNTY",115,62.068,17.73
"NEBRASKA",31,"LOUP COUNTY",115,65.648,16.981
"NEW YORK",36,"WASHINGTON COUNTY",115,69.39,12.374
"NORTH CAROLINA",37,"MADISON COUNTY",115,67.066,15.093
"OHIO",39,"MORGAN COUNTY",115,55.589,18.191
"OKLAHOMA",40,"OTTAWA COUNTY",115,62.606,18.752
"PENNSYLVANIA",42,"SUSQUEHANNA COUNTY",115,60.418,18.154
"SOUTH DAKOTA",46,"SPINK COUNTY",115,65.481,15.679
"TENNESSEE",47,"MARION COUNTY",115,57.567,19.737
"TEXAS",48,"DAWSON COUNTY",115,66.074,14.627
"ARKANSAS",5,"POPE COUNTY",115,62.371,18.764
"VIRGINIA",51,"MATHEWS COUNTY",115,68.061,14.071
"WISCONSIN",55,"SHAWANO COUNTY",115,65.128,15.625
"CALIFORNIA",6,"YUBA COUNTY",115,69.627,13.222
"COLORADO",8,"SEDGWICK COUNTY",115,64.794,17.08
"ALABAMA",1,"SHELBY COUNTY",117,60.763,18.482
"FLORIDA",12,"SEMINOLE COUNTY",117,71.397,14.586
"GEORGIA",13,"FORSYTH COUNTY",117,62.927,16.14
"ILLINOIS",17,"MACOUPIN COUNTY",117,62.122,16.843
"INDIANA",18,"ORANGE COUNTY",117,60.486,18.331
"IOWA",19,"LUCAS COUNTY",117,60.566,18.328
"KANSAS",20,"MARSHALL COUNTY",117,62.542,18.15
"KENTUCKY",21,"KENTON COUNTY",117,65.349,15.757
"LOUISIANA",22,"WASHINGTON PARISH",117,65.379,13.55
"MICHIGAN",26,"MONTCALM COUNTY",117,65.265,16.203
"MINNESOTA",27,"PIPESTONE COUNTY",117,64.246,16.121
"MISSISSIPPI",28,"PRENTISS COUNTY",117,56.607,19.736
"MISSOURI",29,"LIVINGSTON COUNTY",117,63.432,16.931
"NEBRASKA",31,"MCPHERSON COUNTY",117,60.98,21.666
"NEW YORK",36,"WAYNE COUNTY",117,63.338,14.222
"NORTH CAROLINA",37,"MARTIN COUNTY",117,65.105,12.557
"OHIO",39,"MORROW COUNTY",117,59.411,17.801
"OKLAHOMA",40,"PAWNEE COUNTY",117,57.934,18.936
"PENNSYLVANIA",42,"TIOGA COUNTY",117,62.942,17.947
"SOUTH DAKOTA",46,"STANLEY COUNTY",117,64.507,16.829
"TENNESSEE",47,"MARSHALL COUNTY",117,57.161,19.622
"TEXAS",48,"DEAF SMITH COUNTY",117,66.197,14.4
"ARKANSAS",5,"PRAIRIE COUNTY",117,62.721,16.601
"VIRGINIA",51,"MECKLENBURG COUNTY",117,69.653,10.682
"WISCONSIN",55,"SHEBOYGAN COUNTY",117,63.625,17.778
"COLORADO",8,"SUMMIT COUNTY",117,74.449,11.226
"ALABAMA",1,"SUMTER COUNTY",119,71.831,6.982
"FLORIDA",12,"SUMTER COUNTY",119,68.123,13.867
"GEORGIA",13,"FRANKLIN COUNTY",119,57.734,19.714
"ILLINOIS",17,"MADISON COUNTY",119,65.733,15.328
"INDIANA",18,"OWEN COUNTY",119,58.538,18.024
"IOWA",19,"LYON COUNTY",119,58.921,19.608
"KANSAS",20,"MEADE COUNTY",119,63.096,17.523
"KENTUCKY",21,"KNOTT COUNTY",119,56.807,19.363
"LOUISIANA",22,"WEBSTER PARISH",119,61.041,16.393
"MICHIGAN",26,"MONTMORENCY COUNTY",119,61.108,18.638
"MINNESOTA",27,"POLK COUNTY",119,63.113,16.686
"MISSISSIPPI",28,"QUITMAN COUNTY",119,71.065,6.732
"MISSOURI",29,"MCDONALD COUNTY",119,58.275,19.785
"NEBRASKA",31,"MADISON COUNTY",119,61.671,19.551
"NEW YORK",36,"WESTCHESTER COUNTY",119,78.09,6.627
"NORTH CAROLINA",37,"MECKLENBURG COUNTY",119,75.41,8.08
"OHIO",39,"MUSKINGUM COUNTY",119,62.849,16.697
"OKLAHOMA",40,"PAYNE COUNTY",119,65.315,17.758
"PENNSYLVANIA",42,"UNION COUNTY",119,70.534,12.451
"SOUTH DAKOTA",46,"SULLY COUNTY",119,61.53,19.33
"TENNESSEE",47,"MAURY COUNTY",119,60.712,16.376
"TEXAS",48,"DELTA COUNTY",119,56.659,21.566
"ARKANSAS",5,"PULASKI COUNTY",119,74.462,10.101
"VIRGINIA",51,"MIDDLESEX COUNTY",119,68.182,13.564
"WISCONSIN",55,"TAYLOR COUNTY",119,62.368,17.585
"COLORADO",8,"TELLER COUNTY",119,64.25,18.284
"ARIZONA",4,"LA PAZ COUNTY",12,67.211,14.843
"ALABAMA",1,"TALLADEGA COUNTY",121,61.922,13.753
"FLORIDA",12,"SUWANNEE COUNTY",121,64.476,16.19
"GEORGIA",13,"FULTON COUNTY",121,78.943,6.122
"ILLINOIS",17,"MARION COUNTY",121,59.366,19.121
"INDIANA",18,"PARKE COUNTY",121,59.072,19.398
"IOWA",19,"MADISON COUNTY",121,64.471,16.568
"KANSAS",20,"MIAMI COUNTY",121,63.143,17.88
"KENTUCKY",21,"KNOX COUNTY",121,54.902,20.845
"LOUISIANA",22,"WEST BATON ROUGE PARISH",121,63.958,12.988
"MICHIGAN",26,"MUSKEGON COUNTY",121,64.598,13.598
"MINNESOTA",27,"POPE COUNTY",121,63.923,16.855
"MISSISSIPPI",28,"RANKIN COUNTY",121,58.378,18.425
"MISSOURI",29,"MACON COUNTY",121,58.249,19.07
"NEBRASKA",31,"MERRICK COUNTY",121,59.323,20.891
"NEW YORK",36,"WYOMING COUNTY",121,62.511,16.717
"NORTH CAROLINA",37,"MITCHELL COUNTY",121,60.21,19.873
"OHIO",39,"NOBLE COUNTY",121,58.291,18.596
"OKLAHOMA",40,"PITTSBURG COUNTY",121,60.719,19.71
"PENNSYLVANIA",42,"VENANGO COUNTY",121,62.255,18.264
"SOUTH DAKOTA",46,"TODD COUNTY",121,74.976,8.363
"TENNESSEE",47,"MEIGS COUNTY",121,55.496,21.224
"TEXAS",48,"DENTON COUNTY",121,69.616,13.881
"ARKANSAS",5,"RANDOLPH COUNTY",121,58.254,20.061
"VIRGINIA",51,"MONTGOMERY COUNTY",121,74.604,11.706
"WISCONSIN",55,"TREMPEALEAU COUNTY",121,69.204,13.651
"COLORADO",8,"WASHINGTON COUNTY",121,61.187,20.319
"ALASKA",2,"KENAI PENINSULA BOROUGH",122,70.72,13.021
"ALABAMA",1,"TALLAPOOSA COUNTY",123,61.673,15.642
"FLORIDA",12,"TAYLOR COUNTY",123,62.859,15.75
"GEORGIA",13,"GILMER COUNTY",123,65.325,16.634
"ILLINOIS",17,"MARSHALL COUNTY",123,61.491,18.151
"INDIANA",18,"PERRY COUNTY",123,62.381,15.976
"IOWA",19,"MAHASKA COUNTY",123,61.866,17.479
"KANSAS",20,"MITCHELL COUNTY",123,57.433,22.741
"KENTUCKY",21,"LARUE COUNTY",123,58.133,19.485
"LOUISIANA",22,"WEST CARROLL PARISH",123,57.15,20.304
"MICHIGAN",26,"NEWAYGO COUNTY",123,62.187,16.916
"MINNESOTA",27,"RAMSEY COUNTY",123,79.584,7.811
"MISSISSIPPI",28,"SCOTT COUNTY",123,65.845,11.394
"MISSOURI",29,"MADISON COUNTY",123,61.014,18.355
"NEBRASKA",31,"MORRILL COUNTY",123,63.354,17.729
"NEW YORK",36,"YATES COUNTY",123,70.399,12.176
"NORTH CAROLINA",37,"MONTGOMERY COUNTY",123,64.544,14.869
"OHIO",39,"OTTAWA COUNTY",123,63.419,16.362
"OKLAHOMA",40,"PONTOTOC COUNTY",123,64.058,18.405
"PENNSYLVANIA",42,"WARREN COUNTY",123,65.688,15.979
"SOUTH DAKOTA",46,"TRIPP COUNTY",123,58.579,19.792
"TENNESSEE",47,"MONROE COUNTY",123,57.557,19.652
"TEXAS",48,"DEWITT COUNTY",123,61.682,18.077
"ARKANSAS",5,"ST. FRANCIS COUNTY",123,69.183,9.211
"WISCONSIN",55,"VERNON COUNTY",123,69.551,12.804
"COLORADO",8,"WELD COUNTY",123,60.829,15.964
"ALABAMA",1,"TUSCALOOSA COUNTY",125,64.144,15.094
"FLORIDA",12,"UNION COUNTY",125,64.907,15.288
"GEORGIA",13,"GLASCOCK COUNTY",125,56.442,20.859
"ILLINOIS",17,"MASON COUNTY",125,57.65,17.753
"INDIANA",18,"PIKE COUNTY",125,52.423,19.401
"IOWA",19,"MARION COUNTY",125,65.637,15.699
"KANSAS",20,"MONTGOMERY COUNTY",125,67.544,15.911
"KENTUCKY",21,"LAUREL COUNTY",125,57.365,21.028
"LOUISIANA",22,"WEST FELICIANA PARISH",125,57.462,13.659
"MICHIGAN",26,"OAKLAND COUNTY",125,74.295,11.002
"MINNESOTA",27,"RED LAKE COUNTY",125,62.92,17.115
"MISSISSIPPI",28,"SHARKEY COUNTY",125,72.563,6.201
"MISSOURI",29,"MARIES COUNTY",125,62.392,17.429
"NEBRASKA",31,"NANCE COUNTY",125,60.438,19.645
"NORTH CAROLINA",37,"MOORE COUNTY",125,66.597,15.859
"OHIO",39,"PAULDING COUNTY",125,58.011,20.192
"OKLAHOMA",40,"POTTAWATOMIE COUNTY",125,60.319,20.343
"PENNSYLVANIA",42,"WASHINGTON COUNTY",125,63.929,14.932
"SOUTH DAKOTA",46,"TURNER COUNTY",125,63.47,17.394
"TENNESSEE",47,"MONTGOMERY COUNTY",125,67.398,13.641
"TEXAS",48,"DICKENS COUNTY",125,64.095,17.145
"ARKANSAS",5,"SALINE COUNTY",125,58.775,19.838
"VIRGINIA",51,"NELSON COUNTY",125,73.525,10.332
"WISCONSIN",55,"VILAS COUNTY",125,64.813,15.398
"COLORADO",8,"YUMA COUNTY",125,64.713,17.295
"ALABAMA",1,"WALKER COUNTY",127,50.273,22.635
"FLORIDA",12,"VOLUSIA COUNTY",127,71.661,14.104
"GEORGIA",13,"GLYNN COUNTY",127,67.598,13.056
"ILLINOIS",17,"MASSAC COUNTY",127,53.426,18.607
"INDIANA",18,"PORTER COUNTY",127,67.958,13.406
"IOWA",19,"MARSHALL COUNTY",127,70.631,12.073
"KANSAS",20,"MORRIS COUNTY",127,60.728,18.691
"KENTUCKY",21,"LAWRENCE COUNTY",127,48.938,20.549
"LOUISIANA",22,"WINN PARISH",127,60.073,16.865
"MICHIGAN",26,"OCEANA COUNTY",127,65.265,15.533
"MINNESOTA",27,"REDWOOD COUNTY",127,62.563,16.682
"MISSISSIPPI",28,"SIMPSON COUNTY",127,59.599,15.489
"MISSOURI",29,"MARION COUNTY",127,60.927,18.798
"NEBRASKA",31,"NEMAHA COUNTY",127,66.373,16.024
"NORTH CAROLINA",37,"NASH COUNTY",127,67.065,11.497
"OHIO",39,"PERRY COUNTY",127,59.558,19.275
"OKLAHOMA",40,"PUSHMATAHA COUNTY",127,60.743,19.435
"PENNSYLVANIA",42,"WAYNE COUNTY",127,64.871,16.704
"SOUTH DAKOTA",46,"UNION COUNTY",127,60.132,17.978
"TENNESSEE",47,"MOORE COUNTY",127,53.461,23.306
"TEXAS",48,"DIMMIT COUNTY",127,73.791,8.788
"ARKANSAS",5,"SCOTT COUNTY",127,59.559,19.642
"VIRGINIA",51,"NEW KENT COUNTY",127,63.159,16.274
"WISCONSIN",55,"WALWORTH COUNTY",127,67.333,13.904
"ALABAMA",1,"WASHINGTON COUNTY",129,54.185,16.635
"FLORIDA",12,"WAKULLA COUNTY",129,60.567,15.31
"GEORGIA",13,"GORDON COUNTY",129,60.606,18.959
"ILLINOIS",17,"MENARD COUNTY",129,64.373,16.319
"INDIANA",18,"POSEY COUNTY",129,56.844,20.93
"IOWA",19,"MILLS COUNTY",129,57.266,17.976
"KANSAS",20,"MORTON COUNTY",129,62.806,18.019
"KENTUCKY",21,"LEE COUNTY",129,55.402,20.945
"MICHIGAN",26,"OGEMAW COUNTY",129,62.309,17.277
"MINNESOTA",27,"RENVILLE COUNTY",129,62.545,17.354
"MISSISSIPPI",28,"SMITH COUNTY",129,55.125,17.931
"MISSOURI",29,"MERCER COUNTY",129,60.602,18.91
"NEBRASKA",31,"NUCKOLLS COUNTY",129,61.341,19.014
"NORTH CAROLINA",37,"NEW HANOVER COUNTY",129,71.59,11.646
"OHIO",39,"PICKAWAY COUNTY",129,57.823,19.705
"OKLAHOMA",40,"ROGER MILLS COUNTY",129,59.09,21.54
"PENNSYLVANIA",42,"WESTMORELAND COUNTY",129,65.462,16.652
"SOUTH DAKOTA",46,"WALWORTH COUNTY",129,63.641,17.158
"TENNESSEE",47,"MORGAN COUNTY",129,56.606,20.14
"TEXAS",48,"DONLEY COUNTY",129,60.929,19.924
"ARKANSAS",5,"SEARCY COUNTY",129,63.201,17.651
"WISCONSIN",55,"WASHBURN COUNTY",129,64.249,16.387
"ALABAMA",1,"BUTLER COUNTY",13,65.254,11.606
"FLORIDA",12,"CALHOUN COUNTY",13,59.062,17.436
"GEORGIA",13,"BARROW COUNTY",13,63.754,17.152
