"state","s_fips","county","c_fips","prop_dem","prop_rep","prop_lib","prop_green","prop_other","ttl_votes"
"ALABAMA",1,"AUTAUGA",1,0.270183651422398,0.714368023046453,0,0,0.0154483255311487,27770
"ALABAMA",1,"MONTGOMERY",101,0.650894199053854,0.336002985706937,0,0,0.0131028152392096,99139
"ALABAMA",1,"MORGAN",103,0.24634228062991,0.738319496668032,0,0,0.0153382227020587,53722
"ALABAMA",1,"PERRY",105,0.738049713193117,0.256022944550669,0,0,0.00592734225621415,5230
"ALABAMA",1,"PICKENS",107,0.416011584609019,0.578609846917666,0,0,0.00537856847331403,9668
"ALABAMA",1,"PIKE",109,0.407196011848855,0.581027382414565,0,0,0.0117766057365797,13841
"ALABAMA",1,"BULLOCK",11,0.747019293301539,0.248428354649902,0,0,0.00455235204855842,4613
"ALABAMA",1,"RANDOLPH",111,0.203285041985789,0.789794223493587,0,0,0.00692073452062379,10837
"ALABAMA",1,"RUSSELL",113,0.526419428946505,0.462468939003235,0,0,0.0111116320502602,21329
"ALABAMA",1,"ST. CLAIR",115,0.17425350464661,0.813798069350375,0,0,0.0119484260030152,44441
"ALABAMA",1,"SHELBY",117,0.289412788168769,0.693344932579382,0,0,0.0172422792518486,114950
"ALABAMA",1,"SUMTER",119,0.738833253854713,0.254013670322683,0,0,0.00715307582260372,6291
"ALABAMA",1,"TALLADEGA",121,0.368393012365757,0.623475310545944,0,0,0.0081316770882988,35663
"ALABAMA",1,"TALLAPOOSA",123,0.279119622695441,0.71282930779858,0,0,0.00805106950597875,20991
"ALABAMA",1,"TUSCALOOSA",125,0.418810717295835,0.566883289712993,0,0,0.0143059929911724,90172
"ALABAMA",1,"WALKER",127,0.155085017645172,0.834199550850176,0,0,0.0107154315046519,31170
"ALABAMA",1,"WASHINGTON",129,0.254393871113114,0.739522307345651,0,0,0.00608382154123479,8876
"ALABAMA",1,"BUTLER",13,0.41789629005059,0.575252951096121,0,0,0.00685075885328836,9488
