"state","s_fips","county","c_fips","ttl_pop","male_pop","female_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income"
"Mississippi",28,"Wilkinson County",157,8875,4870,4005,37.8,35.4,47.1,2475,6307,0,10,0,21,62,2469,19,6,13,27313
"Missouri",29,"Perry County",157,19191,9499,9692,40.7,39.9,41.9,18632,108,100,230,0,0,121,18261,439,371,0,55863
"Nebraska",31,"Scotts Bluff County",157,36074,17450,18624,39.5,38.3,40.9,33042,321,678,237,45,878,873,25975,8594,7067,55,49745
"North Carolina",37,"Rockingham County",157,91077,43801,47276,44.7,43.4,46,68702,16739,427,535,22,2480,2172,65897,5560,2805,147,43579
"Ohio",39,"Tuscarawas County",157,92335,45476,46859,41,39.4,43,89194,661,170,370,0,114,1826,87235,2612,1959,110,53243
"Tennessee",47,"Shelby County",157,936374,444834,491540,35.6,33.8,37.4,366180,502669,1562,24626,264,25456,15617,334839,59571,31341,2330,51657
"Texas",48,"Fort Bend County",157,765394,375912,389482,36.3,35.5,37,395904,157134,2600,154513,408,33215,21620,253263,187500,142641,3162,97743
"Virginia",51,"Rappahannock County",157,7378,3743,3635,50.1,47,52.2,6661,335,88,38,0,84,172,6525,287,136,0,74284
"Alaska",2,"Kusilvak Census Area",158,8250,4463,3787,24.1,25.1,23.3,297,40,7600,11,5,44,253,295,93,2,32,36754
"Georgia",13,"Jasper County",159,13916,6730,7186,43,43,43.1,10496,2838,8,41,0,377,156,10327,546,169,0,51250
"Illinois",17,"Richland County",159,15766,7797,7969,42,40.4,43.6,15178,125,71,80,0,92,220,15008,270,170,0,48894
"Indiana",18,"Tipton County",159,15162,7538,7624,45.1,43.7,46,14586,16,2,48,0,164,346,14387,425,199,0,58118
"Iowa",19,"Ringgold County",159,4964,2418,2546,44,41.4,46.6,4761,4,18,49,0,99,33,4735,125,26,0,55271
"Kansas",20,"Rice County",159,9658,4853,4805,38.9,36.5,41,8786,189,67,79,20,204,313,8029,1100,757,26,53012
"Kentucky",21,"Martin County",159,11648,6433,5215,39.5,37.3,44.2,10837,636,29,11,12,45,78,10749,231,88,46,41013
"Michigan",26,"Van Buren County",159,75358,37494,37864,41.6,40.7,42.4,64935,2520,770,534,23,3401,3175,61194,8685,3741,126,54485
"Minnesota",27,"Wadena County",159,13654,6739,6915,41.5,40.5,42.2,12982,82,144,57,0,104,285,12857,267,125,0,46605
"Mississippi",28,"Winston County",159,18229,8851,9378,42.3,41.1,44.1,9197,8553,242,6,0,57,174,9103,234,94,64,34724
"Missouri",29,"Pettis County",159,42355,21063,21292,37.8,36.5,39.4,38705,1483,52,279,12,907,917,35969,3670,2736,0,46157
"Nebraska",31,"Seward County",159,17171,8746,8425,38,36.1,39.8,16550,96,20,84,0,92,329,16258,452,292,2,70389
"North Carolina",37,"Rowan County",159,140296,69468,70828,40.2,39,41.6,107590,22677,523,1228,31,4849,3398,101067,12381,6523,644,49842
"Ohio",39,"Union County",159,56707,27323,29384,38,38,38,51608,1470,195,2269,48,287,830,50769,983,839,18,86715
"Tennessee",47,"Smith County",159,19740,9868,9872,40.3,39.1,42,18433,561,106,74,0,219,347,18279,537,154,167,48068
"Texas",48,"Franklin County",159,10716,5245,5471,43.2,43.2,43.4,9213,473,31,5,0,602,392,8430,1550,783,5,53783
"Virginia",51,"Richmond County",159,8884,4857,4027,47.3,44.2,52.1,5717,2370,20,30,0,268,479,5380,633,337,14,49517
"Alaska",2,"Aleutians West Census Area",16,5698,3380,2318,38.6,39.1,37.9,1660,191,614,2295,151,292,495,1358,801,302,0,87466
"Georgia",13,"Jeff Davis County",161,15036,7347,7689,36.6,35.4,37,11601,2515,0,34,0,397,489,10653,1822,948,48,36669
"Illinois",17,"Rock Island County",161,143873,70898,72975,40.1,38.8,41.9,115405,14968,582,3650,61,3941,5266,103282,18491,12123,812,54858
"Indiana",18,"Union County",161,7113,3480,3633,43.5,42.3,44.7,6898,15,0,145,0,4,51,6787,126,111,11,50375
"Iowa",19,"Sac County",161,9802,4840,4962,46.1,43.8,48.7,9543,71,0,45,0,63,80,9300,308,243,0,58232
"Kansas",20,"Riley County",161,75056,39748,35308,25.1,24.6,26.2,61781,4680,330,3801,143,1124,3197,57436,6250,4345,109,51208
"Kentucky",21,"Mason County",161,17112,8490,8622,40.6,39,43.7,15505,1082,8,155,7,46,309,15223,328,282,0,45377
"Michigan",26,"Washtenaw County",161,367000,181923,185077,33.6,32.3,34.9,269998,43795,1541,33476,164,2787,15239,257368,17329,12630,570,72586
"Minnesota",27,"Waseca County",161,18740,9005,9735,40.5,40,40.9,17409,444,131,113,4,314,325,16720,1124,689,0,56762
"Mississippi",28,"Yalobusha County",161,12367,5982,6385,42.5,41,44.5,7302,4904,18,19,0,32,92,7175,172,127,0,41464
"Missouri",29,"Phelps County",161,44630,23373,21257,35.3,31.3,38.8,40391,1079,346,1620,0,117,1077,39598,1137,793,86,44154
"Nebraska",31,"Sheridan County",161,5231,2535,2696,46.7,45.5,47.9,4322,109,444,48,2,34,272,4243,289,79,0,45371
"North Carolina",37,"Rutherford County",161,66599,32365,34234,45,43.5,46.9,57790,6355,298,282,16,550,1308,55473,2941,2317,17,42608
"Ohio",39,"Van Wert County",161,28261,13936,14325,41.2,40.3,42.4,27219,371,64,81,0,158,368,26541,960,678,0,54254
"Tennessee",47,"Stewart County",161,13427,6612,6815,44.2,43.5,45.5,12572,134,33,96,52,92,448,12324,406,248,10,45809
"Texas",48,"Freestone County",161,19714,10203,9511,41.5,40.8,42.1,15857,2995,83,139,0,298,342,13130,3055,2727,22,49471
"Virginia",51,"Roanoke County",161,93823,45121,48702,43.8,40.9,45.8,82563,5571,184,2913,11,581,2000,80507,2907,2056,18,68948
"Georgia",13,"Jefferson County",163,15618,7522,8096,40,38.6,42.1,6796,8325,23,49,0,244,181,6561,600,235,31,33944
"Illinois",17,"St. Clair County",163,262338,126734,135604,38.6,36.8,40.2,168096,78532,590,3861,69,3402,7788,161693,10748,6403,251,55179
"Indiana",18,"Vanderburgh County",163,181291,87633,93658,38.3,37,39.9,154112,17307,193,2256,329,2209,4885,151571,4814,2541,84,49708
"Iowa",19,"Scott County",163,172446,84605,87841,38.3,37.3,39.3,147646,12954,543,4698,39,1290,5276,137911,11590,9735,102,61183
"Kansas",20,"Rooks County",163,5053,2428,2625,44.7,44.1,45.6,4860,89,12,4,11,14,63,4756,127,104,1,49415
"Kentucky",21,"Meade County",163,28182,14232,13950,38.6,38.3,39.1,25861,1061,211,185,0,162,702,25206,1040,655,57,56603
"Michigan",26,"Wayne County",163,1757299,846179,911120,37.9,36.1,39.4,933616,680932,5767,58915,445,34182,43442,870241,104419,63375,3586,47301
"Minnesota",27,"Washington County",163,255938,126626,129312,39.5,38.5,40.6,218513,11757,971,14773,135,2077,7712,211647,10716,6866,164,96671
"Mississippi",28,"Yazoo County",163,28565,16638,11927,36.1,34.9,38.8,10533,17027,92,126,0,444,343,9903,1312,630,119,33279
"Missouri",29,"Pike County",163,18455,10117,8338,38.9,37.1,42.1,16421,1338,56,64,15,151,410,16251,415,170,0,46385
"Nebraska",31,"Sherman County",163,3033,1531,1502,49.7,48,51.4,2966,5,1,9,1,24,27,2922,68,44,0,50781
"North Carolina",37,"Sampson County",163,63385,31127,32258,40.3,39.1,41.5,39791,16080,1166,356,0,4286,1706,32319,12445,7472,182,42151
"Ohio",39,"Vinton County",163,13083,6597,6486,42.9,42.5,43.3,12716,34,7,23,0,0,303,12626,90,90,0,45673
"Tennessee",47,"Sullivan County",163,157050,76345,80705,45.1,43.4,46.6,148183,3067,203,953,121,1017,3506,146687,2978,1496,183,46684
"Texas",48,"Frio County",163,19871,11883,7988,31.2,29.9,35,16342,718,27,170,0,2250,364,3233,15753,13109,87,46729
"Virginia",51,"Rockbridge County",163,22570,11227,11343,49,47.5,50,21067,737,85,149,0,95,437,20805,430,262,0,54600
"Alaska",2,"Lake and Peninsula Borough",164,1393,749,644,34.8,37.1,30.8,293,16,973,23,5,1,82,292,2,1,0,44135
"Georgia",13,"Jenkins County",165,8793,4094,4699,44.3,37.8,47.7,5207,3070,126,98,0,214,78,4807,718,400,0,27375
"Illinois",17,"Saline County",165,23994,11807,12187,42.2,38.6,44.9,22234,632,53,178,54,122,721,21957,428,277,0,44090
"Indiana",18,"Vermillion County",165,15539,7778,7761,42.9,41.4,45.1,15106,182,44,35,6,50,116,14984,137,122,4,50243
"Iowa",19,"Shelby County",165,11606,5682,5924,46.4,44.7,47.5,11247,88,36,22,0,56,157,10974,345,273,0,58000
"Kansas",20,"Rush County",165,3022,1503,1519,46.6,43.9,49.1,2882,6,0,17,0,11,106,2793,98,89,0,47981
"Kentucky",21,"Menifee County",165,6443,3414,3029,44.6,42.5,46.8,6331,10,0,20,0,0,82,6258,73,73,0,39325
"Michigan",26,"Wexford County",165,33256,16599,16657,41.6,40.5,43.1,31836,245,153,180,28,47,767,31432,653,404,72,47193
"Minnesota",27,"Watonwan County",165,10972,5511,5461,39.9,38.8,40.8,9411,102,9,129,0,1197,124,7876,2797,1535,13,54065
"Missouri",29,"Platte County",165,100682,49730,50952,38.2,37.2,39.1,85900,6825,285,2757,480,767,3668,81559,6082,4341,93,80393
"Nebraska",31,"Sioux County",165,1219,587,632,44.1,52.1,41.7,1130,5,6,0,0,40,38,1129,41,1,0,48269
"North Carolina",37,"Scotland County",165,35076,17293,17783,39.3,37.5,41.1,15317,13660,4171,284,9,817,818,15148,1053,169,33,37238
"Ohio",39,"Warren County",165,229132,115491,113641,39.4,38.1,40.7,202506,7895,193,13183,5,1114,4236,197434,6321,5072,317,87125
"Tennessee",47,"Sumner County",165,183437,89689,93748,39.8,38.6,40.9,159883,13457,465,2564,164,2818,4086,154313,8949,5570,127,67204
"Texas",48,"Gaines County",165,20706,10556,10150,27.8,27.6,28,19578,522,57,102,9,378,60,11493,8591,8085,72,63054
"Virginia",51,"Rockingham County",165,80284,39392,40892,41.5,40.7,42.4,74651,2428,275,578,65,700,1587,71197,5567,3454,559,61864
"Georgia",13,"Johnson County",167,9691,5505,4186,41.8,40.3,44.8,6218,3214,0,21,0,26,212,6047,239,171,1,42446
"Illinois",17,"Sangamon County",167,196861,94496,102365,40.3,38.7,41.7,161188,25303,205,4006,105,840,5214,158154,4532,3034,348,61912
"Indiana",18,"Vigo County",167,107459,54561,52898,36.2,34.4,38.2,93609,7230,178,1987,71,804,3580,91866,2886,1743,67,45230
"Iowa",19,"Sioux County",167,34827,17485,17342,33.4,32.4,34.7,32930,122,94,257,16,813,595,30265,3743,2665,0,69844
"Kansas",20,"Russell County",167,6948,3451,3497,49.1,44.4,50.3,6567,160,62,0,23,20,116,6414,237,153,0,44792
"Kentucky",21,"Mercer County",167,21592,10617,10975,43.2,41.8,45.1,20078,909,31,98,12,121,343,19610,636,468,9,55093
"Minnesota",27,"Wilkin County",167,6291,3245,3046,43.3,42.4,44.1,6181,25,22,1,0,8,54,6176,22,5,0,60595
"Missouri",29,"Polk County",167,31748,15532,16216,37.6,37.1,38.4,30348,294,412,78,24,11,581,29759,775,589,0,45660
"Nebraska",31,"Stanton County",167,5957,2984,2973,42.1,42,42.2,5763,87,0,29,0,36,42,5469,330,294,0,63986
"North Carolina",37,"Stanly County",167,61588,30696,30892,42.2,40.7,43.6,51502,7000,282,1104,8,559,1133,49777,2590,1725,106,52623
"Ohio",39,"Washington County",167,60426,29883,30543,44.3,42.3,45.6,57903,781,272,387,0,157,926,57438,665,465,36,50021
"Tennessee",47,"Tipton County",167,61447,30265,31182,37.5,36.5,38.7,47750,11313,194,520,2,380,1288,46509,1708,1241,34,61291
"Texas",48,"Galveston County",167,332885,163877,169008,37.7,36.3,38.9,262336,41809,1306,10946,123,6797,9568,190948,82003,71388,704,73330
"Virginia",51,"Russell County",167,27141,13306,13835,45.7,45,46.6,26522,274,66,0,0,1,278,26248,317,274,0,39758
"Georgia",13,"Jones County",169,28579,13728,14851,40.4,39.6,40.8,20836,7043,50,213,0,9,428,20415,476,421,24,56020
"Illinois",17,"Schuyler County",169,6953,3641,3312,46.3,46.1,46.9,6219,625,9,0,0,0,100,6166,67,53,14,52357
"Indiana",18,"Wabash County",169,31389,15334,16055,42.3,41.3,43.8,30001,349,247,121,10,343,318,29611,819,390,18,54259
"Iowa",19,"Story County",169,96941,50622,46319,26.6,25.3,28,83428,2213,223,7795,0,861,2421,81274,3348,2154,64,56756
"Kansas",20,"Saline County",169,54701,27149,27552,38.6,37.1,40.6,47992,1536,255,1233,15,1365,2305,43855,6170,4137,15,52200
"Kentucky",21,"Metcalfe County",169,10036,4999,5037,43.9,42.8,44.9,9608,156,27,40,0,0,205,9526,82,82,0,37386
"Minnesota",27,"Winona County",169,50725,25126,25599,35.2,34.8,35.7,47455,651,186,1340,0,228,865,46224,1502,1231,0,59329
"Missouri",29,"Pulaski County",169,52425,29924,22501,27.6,25.4,31.5,39671,5879,490,1316,390,1550,3129,36370,5879,3301,293,53492
"Nebraska",31,"Thayer County",169,5057,2542,2515,46.5,45,48.8,4890,25,17,0,0,32,93,4799,131,91,0,51821
"North Carolina",37,"Stokes County",169,45781,22256,23525,46.2,45.8,46.8,42590,1909,191,167,0,292,632,41701,1400,889,0,48054
"Ohio",39,"Wayne County",169,116099,57717,58382,38.7,37.2,40.2,109717,1584,286,1211,15,1206,2080,108752,2335,965,13,58300
"Tennessee",47,"Trousdale County",169,10231,5987,4244,35.1,32.3,43.2,8690,1042,54,25,0,30,390,8610,110,80,0,56321
"Texas",48,"Garza County",169,6070,3829,2241,41.1,40.2,42.7,5120,347,16,119,0,387,81,2407,3170,2713,5,49627
"Virginia",51,"Scott County",169,21902,11075,10827,47.3,45.5,49,21446,127,87,68,0,19,155,21163,302,283,0,39820
"Alabama",1,"Chambers County",17,33660,16089,17571,42,40.4,43.7,19423,13316,112,376,0,91,342,18697,800,726,0,42289
"Florida",12,"Citrus County",17,145169,70474,74695,56.5,55.5,57.2,134668,4288,382,2567,40,798,2426,127751,8263,6917,217,44237
"Georgia",13,"Ben Hill County",17,17033,8139,8894,39.9,38.6,41.4,10163,6236,0,117,0,346,171,9511,1041,652,0,32229
"Idaho",16,"Bonner County",17,43611,21751,21860,47.9,47.8,47.9,41441,127,378,298,53,248,1066,40594,1354,847,29,50256
"Illinois",17,"Cass County",17,12493,6236,6257,40,38.1,41.4,11058,652,22,45,1,581,134,9430,2362,1628,114,52373
"Indiana",18,"Cass County",17,37880,19019,18861,40.8,39,42.5,31859,441,187,527,7,3836,1023,30194,5817,1665,14,49415
"Iowa",19,"Bremer County",17,24864,12313,12551,39.8,38.8,40.7,23895,228,92,286,13,60,290,23634,392,261,9,70395
"Kansas",20,"Chase County",17,2637,1354,1283,44.8,42.4,47.9,2499,44,16,3,0,20,55,2405,125,94,0,45353
"Kentucky",21,"Bourbon County",17,20058,9618,10440,41.8,40,42.7,18128,1401,0,162,0,279,88,17073,1364,1055,12,49637
"Louisiana",22,"Caddo Parish",17,245831,116446,129385,37.7,36,39.2,113489,120925,933,3166,123,2168,5027,110269,6942,3220,595,41797
"Maine",23,"Oxford County",17,57550,28448,29102,47,46,48.1,55391,212,182,217,7,88,1453,54829,793,562,6,49204
"Maryland",24,"Charles County",17,159428,76779,82649,38.4,36.5,39.9,70090,73300,928,5115,16,1158,8821,64027,9212,6063,869,100003
"Massachusetts",25,"Middlesex County",17,1600842,783073,817769,38.5,37.1,40,1227271,85583,3163,190905,742,45312,47866,1150282,127980,76989,5630,102603
"Michigan",26,"Bay County",17,104104,51139,52965,43.4,41.5,45.3,98568,1796,362,606,0,377,2395,93760,5548,4808,53,48819
"Minnesota",27,"Carlton County",17,35633,18634,16999,41,39.8,42.8,31849,670,1802,205,0,22,1085,31399,634,450,3,63098
"Mississippi",28,"Chickasaw County",17,17193,8291,8902,37.8,36.7,39.1,8651,7616,11,33,0,624,258,8525,841,126,0,36548
"Missouri",29,"Bollinger County",17,12225,6068,6157,44,42.9,45.1,11872,50,105,44,0,0,154,11735,137,137,0,44158
"Montana",30,"Custer County",17,11729,5850,5879,41.4,39.7,43.6,10990,74,122,11,20,86,426,10767,401,223,0,52965
"Nebraska",31,"Brown County",17,3015,1462,1553,49.4,47.5,50.6,2935,1,11,14,0,0,54,2881,54,54,0,43098
"Nevada",32,"Lincoln County",17,5180,2790,2390,44.4,40.5,45.6,4589,232,59,46,0,215,39,4504,357,85,35,58462
"New Hampshire",33,"Strafford County",17,129124,63204,65920,36.9,36.1,37.9,119599,1284,94,4331,53,391,3372,117027,3231,2572,74,72960
"New Jersey",34,"Hudson County",17,670046,333123,336923,35.3,34.5,36.2,366901,81275,2648,101912,598,91585,25127,192880,288647,174021,10620,71189
"New Mexico",35,"Grant County",17,27669,13652,14017,46.4,44.9,47.5,25630,275,588,175,3,570,428,12675,13969,12955,33,37843
"New York",36,"Chenango County",17,47909,24003,23906,44.9,43.8,46,46037,467,172,218,10,202,803,45389,1049,648,47,52002
"North Carolina",37,"Bladen County",17,33407,16030,17377,44.5,42.1,46.3,19260,11594,850,50,0,1334,319,18290,2499,970,101,36173
"North Dakota",38,"Cass County",17,176975,89658,87317,32.5,31.9,33.1,154002,9941,1689,5120,44,1053,5126,151212,4769,2790,123,64482
"Ohio",39,"Butler County",17,380019,186236,193783,36.7,35.7,37.9,320689,30587,1034,12447,330,4105,10827,307838,17914,12851,244,66117
"Arizona",4,"Navajo County",17,109270,54721,54549,37.3,35.6,38.7,51496,1005,48795,652,141,4033,3148,45109,12479,6387,197,40067
"Oklahoma",40,"Canadian County",17,140455,69761,70694,35.9,35.3,36.6,113820,3995,5715,4168,25,4032,8700,106957,12629,6863,93,72056
"Oregon",41,"Deschutes County",17,186251,91931,94320,42.4,41.5,43.5,173615,1188,1166,2067,313,2352,5550,162506,14853,11109,106,67043
"Pennsylvania",42,"Bucks County",17,626806,307660,319146,43.9,42.5,45.2,548891,25325,1065,30282,107,8339,12797,526866,33339,22025,1109,89139
"South Carolina",45,"Calhoun County",17,14663,7003,7660,45.5,43.9,46.9,8169,6001,122,4,54,225,88,7915,553,254,13,46339
"South Dakota",46,"Buffalo County",17,2026,1008,1018,25.8,24.5,27.6,282,3,1720,0,0,0,21,277,84,5,0,34808
"Tennessee",47,"Carroll County",17,27886,13613,14273,42.5,40.2,44.7,24211,2867,68,113,36,30,561,23583,741,628,23,42637
"Texas",48,"Bailey County",17,7100,3611,3489,33.3,33.3,33.3,5949,46,80,57,0,965,3,2519,4411,3430,13,52273
"Utah",49,"Garfield County",17,4998,2524,2474,41.9,41.8,42.1,4649,10,227,4,7,74,27,4436,306,213,7,54565
"Arkansas",5,"Chicot County",17,10615,5239,5376,43.3,39.4,45.7,4614,5724,15,62,0,69,131,4111,584,503,5,34147
"Vermont",50,"Orange County",17,28908,14418,14490,46.6,44.7,48.2,27937,200,110,66,28,56,511,27627,386,310,0,60925
"Virginia",51,"Bath County",17,4307,2201,2106,47.8,49.8,46.4,3933,130,6,15,0,39,184,3841,159,92,0,49738
"Washington",53,"Douglas County",17,42023,21107,20916,37.1,36.1,38.7,29137,203,300,305,112,10555,1411,26961,13281,2176,14,62951
"West Virginia",54,"Doddridge County",17,8560,4739,3821,45.3,43,47.3,8178,137,45,45,0,8,147,8148,49,30,11,45545
"Wisconsin",55,"Chippewa County",17,63892,33135,30757,41.2,40.3,42.3,60684,1017,89,860,0,116,1126,59777,1140,907,16,59742
"Wyoming",56,"Hot Springs County",17,4607,2312,2295,46.6,45.6,48.1,4418,0,120,0,0,21,48,4265,175,153,0,51413
"California",6,"El Dorado County",17,188563,93922,94641,45.9,45.1,47,165234,1516,1532,8540,486,3992,7263,146747,24199,18487,90,83377
"Colorado",8,"Cheyenne County",17,2026,1012,1014,39.4,38.7,41,1894,2,2,44,4,0,80,1576,346,318,0,53977
"Alaska",2,"Matanuska-Susitna Borough",170,105369,54838,50531,35.2,34.9,35.7,87323,1299,6529,1453,281,396,8088,83473,5198,3850,92,75493
"Georgia",13,"Lamar County",171,18672,9111,9561,37.8,37.6,39,12363,5489,26,90,0,138,566,12167,458,196,0,44846
"Illinois",17,"Scott County",171,5005,2437,2568,44.6,44.1,44.9,4886,7,32,4,13,18,45,4840,64,46,0,57118
"Indiana",18,"Warren County",171,8237,4109,4128,44.4,43.8,44.9,8038,47,0,23,0,12,117,7901,149,137,0,60553
"Iowa",19,"Tama County",171,17032,8444,8588,42.6,41.9,43.5,14952,157,1438,78,4,225,178,13753,1666,1199,0,56037
"Kansas",20,"Scott County",171,4917,2555,2362,39.7,35.9,43.2,4634,0,4,61,3,145,70,4004,766,630,0,65417
"Kentucky",21,"Monroe County",171,10627,5332,5295,41.4,39.3,43.8,10166,265,13,31,3,68,81,9920,328,246,6,34879
"Minnesota",27,"Wright County",171,134438,67939,66499,37,36.4,37.6,126547,1905,399,1495,20,1503,2569,124159,3953,2388,6,84974
"Missouri",29,"Putnam County",171,4781,2403,2378,45.8,43.8,46.7,4611,5,10,6,0,0,149,4588,23,23,0,42849
"Nebraska",31,"Thomas County",171,645,289,356,41.8,35.6,43.5,613,0,6,0,0,0,26,613,0,0,0,59432
"North Carolina",37,"Surry County",171,71971,34908,37063,44.1,42.8,45.2,65358,2683,247,415,135,2171,962,60359,7632,4999,102,43597
"Ohio",39,"Williams County",171,36816,18267,18549,41.4,39.3,43.6,34946,404,108,214,10,436,698,34092,1661,854,11,53183
"Tennessee",47,"Unicoi County",171,17811,9006,8805,46.5,44.4,48.7,17170,60,18,50,0,236,277,16589,873,581,0,41890
"Texas",48,"Gillespie County",171,26459,12798,13661,50,48.2,52.2,24065,29,854,32,0,671,808,19765,6132,4300,8,59155
"Virginia",51,"Shenandoah County",171,43224,21301,21923,44.5,42.6,46,40391,815,57,420,0,413,1128,37870,3120,2521,45,57252
"Georgia",13,"Lanier County",173,10380,5028,5352,35.6,34.5,38.1,7683,2532,17,21,0,55,72,7122,594,561,0,40986
"Illinois",17,"Shelby County",173,21737,10721,11016,45.1,43.6,46.6,21357,149,17,63,8,3,140,21133,229,224,2,52953
"Indiana",18,"Warrick County",173,62280,30667,31613,41.2,40.3,42.1,58364,1028,113,1660,3,347,765,57543,1165,821,0,73482
"Iowa",19,"Taylor County",173,6167,3133,3034,42.3,40,44.8,5833,1,14,63,0,157,99,5574,475,259,0,50431
"Kansas",20,"Sedgwick County",173,513375,253563,259812,35.4,34.3,36.4,399953,45401,5057,22290,255,18036,22383,349470,74791,50483,1364,56524
"Kentucky",21,"Montgomery County",173,27884,13737,14147,39.7,37.5,41.2,26342,780,93,21,35,189,424,25872,768,470,10,45516
"Minnesota",27,"Yellow Medicine County",173,9814,4984,4830,42.4,41.4,43.8,9090,68,249,60,0,146,201,8781,461,309,0,59210
"Missouri",29,"Ralls County",173,10234,5196,5038,45,44.5,45.8,9860,135,57,59,2,28,93,9769,128,91,7,55377
"Nebraska",31,"Thurston County",173,7181,3566,3615,27.5,26.4,29,2753,14,4210,59,0,12,133,2566,427,187,0,51034
"North Carolina",37,"Swain County",173,14260,6966,7294,41.9,40.2,43.1,9147,67,4268,54,4,126,594,8799,757,348,0,39317
"Ohio",39,"Wood County",173,130150,64210,65940,34.9,33.8,36.1,119595,3416,248,2180,94,1342,3275,114904,7228,4691,70,62390
"Tennessee",47,"Union County",173,19488,9616,9872,43,42.5,43.8,19021,98,6,54,53,37,219,18755,326,266,0,44671
"Texas",48,"Glasscock County",173,1510,867,643,30.8,30.3,36.6,1003,0,0,0,0,507,0,849,661,154,0,78456
"Virginia",51,"Smyth County",173,30767,15161,15606,45,43.2,46.8,29419,668,120,212,46,74,228,28960,612,459,23,40932
"Georgia",13,"Laurens County",175,47405,22431,24974,38.9,37.5,40.6,27786,17687,37,538,8,943,406,27124,1286,662,41,39120
"Illinois",17,"Stark County",175,5447,2691,2756,45.1,43.8,45.6,5290,53,0,51,0,3,50,5198,95,92,0,54907
"Indiana",18,"Washington County",175,27848,13885,13963,41.6,40.5,42.7,27291,26,106,95,0,35,295,26947,374,344,0,47983
"Iowa",19,"Union County",175,12358,6001,6357,40.3,39.3,41.4,11949,62,0,180,19,26,122,11617,369,332,0,49900
"Kansas",20,"Seward County",175,22349,11410,10939,29.4,29.2,29.8,13284,1039,124,592,46,6815,449,6725,13685,6559,32,49291
"Kentucky",21,"Morgan County",175,13288,7481,5807,42,39.3,45.2,12461,452,72,78,46,29,150,12313,179,148,0,36134
"Missouri",29,"Randolph County",175,24878,12987,11891,39.4,37.7,41.4,22388,1463,178,158,6,108,577,22013,523,375,27,47740
"Nebraska",31,"Valley County",175,4206,2048,2158,46.2,45.2,46.5,4116,20,19,0,0,12,39,3985,143,131,0,55324
"North Carolina",37,"Transylvania County",175,33775,16252,17523,51.1,49.7,52.8,30933,1612,99,47,17,608,459,30528,1124,405,52,50212
"Ohio",39,"Wyandot County",175,22000,10835,11165,42.1,40.6,43.6,21372,36,0,183,0,154,255,20895,660,477,0,55767
"Tennessee",47,"Van Buren County",175,5760,2898,2862,46.9,45.6,48,5545,16,0,0,0,9,190,5513,41,32,0,42724
"Texas",48,"Goliad County",175,7565,3756,3809,46.1,46,46.4,6119,445,0,55,0,910,36,4408,2712,1711,73,60690
"Virginia",51,"Southampton County",175,17880,9247,8633,46.9,46.9,46.9,11151,5744,103,44,0,76,762,10913,301,238,41,61348
"Georgia",13,"Lee County",177,29502,14736,14766,37.2,36.9,37.4,21662,6121,30,723,35,164,767,21134,878,528,13,69280
"Illinois",17,"Stephenson County",177,45093,21808,23285,45.3,43.9,46.9,38702,4334,83,382,0,175,1417,37180,1787,1522,0,48805
"Indiana",18,"Wayne County",177,66342,32240,34102,40.6,39,42.8,59572,3378,278,741,0,472,1901,58470,1990,1102,215,46516
"Iowa",19,"Van Buren County",177,7150,3665,3485,45.4,43.9,47,6960,48,0,37,0,24,81,6888,113,72,17,48591
"Kansas",20,"Shawnee County",177,177852,85977,91875,39.1,37.7,40.4,146615,15142,1683,2664,101,5046,6601,131504,21961,15111,359,56762
"Kentucky",21,"Muhlenberg County",177,30951,15239,15712,42.4,40.6,43.7,28689,1404,54,243,22,68,471,28489,472,200,99,43590
"Missouri",29,"Ray County",177,22875,11276,11599,42.2,41.3,43.4,21924,308,118,44,1,26,454,21425,564,499,6,61957
"Nebraska",31,"Washington County",177,20361,10058,10303,41.2,40.3,42.7,19667,221,11,53,15,75,319,19241,593,426,45,71430
"North Carolina",37,"Tyrrell County",177,4095,2356,1739,46.2,43,51.3,2268,1521,37,18,0,169,82,2175,284,93,11,35300
"Tennessee",47,"Warren County",177,40702,20242,20460,40,38.7,41.3,37221,862,129,283,95,1009,1103,34697,3697,2524,24,41125
"Texas",48,"Gonzales County",177,20731,10540,10191,36.3,35.4,37.4,13784,1382,64,76,5,5093,327,8635,10518,5149,41,53577
"Virginia",51,"Spotsylvania County",177,132833,65286,67547,38.2,37.2,39.2,95728,21451,583,3179,151,5803,5938,90457,12965,5271,635,88628
"Georgia",13,"Liberty County",179,61349,31138,30211,28.4,27.4,29.7,28086,25265,321,1260,317,2058,4042,23847,7737,4239,663,48007
"Illinois",17,"Tazewell County",179,133195,65539,67656,41,39.8,42.4,127484,1645,193,1453,29,512,1879,125134,3116,2350,0,63454
"Indiana",18,"Wells County",179,28011,13734,14277,40.3,38.3,41.8,26818,224,63,115,0,309,482,26429,861,389,0,59237
"Iowa",19,"Wapello County",179,35141,17401,17740,39.6,38,41,30687,1248,36,432,240,1794,704,28891,3787,1796,83,46246
"Kansas",20,"Sheridan County",179,2506,1286,1220,44.9,43.6,46.6,2417,25,8,0,0,41,15,2330,128,87,0,62885
