"state","s_fips","county","c_fips","ttl_pop","male_pop","female_pop","med_age","male_med_age","female_med_age","white_pop","black_pop","native_pop","asian_pop","pacific_pop","other_race_pop","mult_race_pop","white_nonhisp_pop","hisp_ttl_pop","white_hisp_pop","black_hisp_pop","med_income"
"Wyoming",56,"Albany County",1,38390,19931,18459,27.6,27.3,28,34368,656,355,1301,10,535,1165,31665,3658,2703,81,49322
"California",6,"Alameda County",1,1656754,814515,842239,37.6,36.7,38.5,670364,175751,11120,499382,13900,179244,106993,520447,371019,149917,4583,99406
"Colorado",8,"Adams County",1,504108,254500,249608,33.8,33.2,34.3,411153,17014,5526,19930,584,28040,21861,252170,201784,158983,875,71202
"Connecticut",9,"Fairfield County",1,943926,459636,484290,40.6,38.9,42.1,688856,109186,2074,50339,540,63191,29740,582819,185996,106037,8924,95645
"Alaska",2,"Haines Borough",100,2518,1297,1221,44.7,45.6,39,2055,0,222,33,4,7,197,1952,113,103,0,58059
"Alabama",1,"Montgomery County",101,226941,107049,119892,36.4,34.5,38.1,81265,131408,468,6383,53,3104,4260,76937,7978,4328,248,50124
"Florida",12,"Pasco County",101,524602,255248,269354,44.5,43.5,45.6,456080,30221,1954,13580,320,8345,14102,391110,79843,64970,1996,52828
"Georgia",13,"Echols County",101,3981,1888,2093,40.6,43.6,38.9,2939,79,87,0,0,698,178,2640,1086,299,0,39494
"Illinois",17,"Lawrence County",101,16033,8687,7346,42.4,39.5,45.9,14073,1331,163,87,0,71,308,13557,615,516,8,46636
"Indiana",18,"Martin County",101,10212,5158,5054,42.7,41.9,44.1,10025,77,33,18,0,2,57,9910,117,115,0,52726
"Iowa",19,"Jefferson County",101,18148,8889,9259,42.9,42.2,43.3,15104,1305,3,790,0,252,694,14614,552,490,12,47708
"Kansas",20,"Lane County",101,1564,798,766,40.7,38.8,41.5,1514,0,12,19,4,15,0,1424,105,90,0,52125
"Kentucky",21,"Henderson County",101,45829,22133,23696,41.2,39.9,42,40333,3345,93,194,12,510,1342,39674,1170,659,4,48926
"Louisiana",22,"St. Mary Parish",101,50968,25211,25757,39,38.1,39.8,30016,15531,836,734,11,1649,2191,28581,3585,1435,99,40485
"Michigan",26,"Manistee County",101,24457,12695,11762,49.3,47.3,51.6,22297,710,437,92,16,87,818,21763,772,534,23,50055
"Minnesota",27,"Murray County",101,8296,4149,4147,48.1,46.7,49.3,8002,31,21,132,0,31,79,7719,335,283,0,60231
"Mississippi",28,"Newton County",101,21360,10042,11318,37,36.3,37.8,13115,6515,1135,111,0,220,264,12869,408,246,17,35958
"Missouri",29,"Johnson County",101,53682,27503,26179,30.5,29,32.4,47758,2326,216,917,154,350,1961,46037,2356,1721,26,55273
"Montana",30,"Toole County",101,4892,2720,2172,43.1,40.8,47.5,4376,23,371,32,0,12,78,4260,196,116,0,50721
"Nebraska",31,"Keith County",101,8068,4130,3938,49.3,48.1,50,7745,98,69,62,13,32,49,7236,584,509,0,50735
"New York",36,"Steuben County",101,96422,48131,48291,42.9,41.6,44.2,91286,1623,103,1480,3,462,1465,90220,1588,1066,113,53663
"North Carolina",37,"Johnston County",101,196870,96841,100029,38.4,37.1,39.5,152007,31423,1349,1242,69,5516,5264,133478,26781,18529,1002,59865
"North Dakota",38,"Ward County",101,68812,35715,33097,31.6,30.5,32.8,59575,2653,1437,1194,84,1025,2844,56956,4231,2619,66,68871
"Ohio",39,"Marion County",101,65299,34643,30656,41.3,39.5,43.2,58505,3714,166,420,26,396,2072,57683,1747,822,213,47498
"Oklahoma",40,"Muskogee County",101,68736,33515,35221,37.9,36.7,39,39748,7262,12381,475,21,2183,6666,38425,4285,1323,91,43078
"Pennsylvania",42,"Philadelphia County",101,1579075,747479,831596,34.4,32.9,35.9,642060,665333,5754,114315,784,102480,48349,544434,231858,97626,20610,45927
"South Dakota",46,"Moody County",101,6507,3271,3236,39.9,39,42.1,5180,33,796,138,0,15,345,4998,288,182,1,61538
"Tennessee",47,"Lewis County",101,12027,5823,6204,43.3,43,44.6,11436,219,0,164,0,53,155,11223,276,213,0,37277
"Texas",48,"Cottle County",101,1642,741,901,37.1,36.7,37.2,1149,238,15,0,0,159,81,850,380,299,0,32305
"Arkansas",5,"Newton County",101,7812,3868,3944,49,48.7,49.2,7356,2,196,51,60,0,147,7335,33,21,0,38082
