"state","s_fips","county","c_fips","weather_type","year"
"LOUISIANA",22,"ALLEN PARISH",3,"Hurricane","2019"
"SOUTH CAROLINA",45,"ALLENDALE COUNTY",5,"Severe Storm(s)","2015"
"SOUTH CAROLINA",45,"ALLENDALE COUNTY",5,"Flood","2015"
"SOUTH CAROLINA",45,"ALLENDALE COUNTY",5,"Hurricane","2016"
"SOUTH CAROLINA",45,"ALLENDALE COUNTY",5,"Hurricane","2019"
"SOUTH CAROLINA",45,"ALLENDALE COUNTY",5,"Hurricane","2017"
"SOUTH CAROLINA",45,"ALLENDALE COUNTY",5,"Hurricane","2018"
"CALIFORNIA",6,"ALPINE COUNTY",3,"Flood","2017"
"CALIFORNIA",6,"AMADOR COUNTY",5,"Flood","2017"
"CALIFORNIA",6,"AMADOR COUNTY",5,"Fire","2015"
"CALIFORNIA",6,"AMADOR COUNTY",5,"Severe Storm(s)","2017"
"CALIFORNIA",6,"AMADOR COUNTY",5,"Severe Storm(s)","2019"
"VIRGINIA",51,"AMELIA COUNTY",7,"Hurricane","2018"
"VIRGINIA",51,"AMHERST COUNTY",9,"Hurricane","2018"
"KANSAS",20,"ANDERSON COUNTY",3,"Severe Storm(s)","2019"
"KENTUCKY",21,"ANDERSON COUNTY",5,"Snow","2015"
"KENTUCKY",21,"ANDERSON COUNTY",5,"Flood","2015"
"SOUTH CAROLINA",45,"ANDERSON COUNTY",7,"Severe Storm(s)","2015"
"SOUTH CAROLINA",45,"ANDERSON COUNTY",7,"Flood","2015"
"SOUTH CAROLINA",45,"ANDERSON COUNTY",7,"Hurricane","2018"
"SOUTH CAROLINA",45,"ANDERSON COUNTY",7,"Hurricane","2017"
"SOUTH CAROLINA",45,"ANDERSON COUNTY",7,"Hurricane","2016"
"SOUTH CAROLINA",45,"ANDERSON COUNTY",7,"Hurricane","2019"
"TENNESSEE",47,"ANDERSON COUNTY",1,"Flood","2019"
"TENNESSEE",47,"ANDERSON COUNTY",1,"Severe Ice Storm","2015"
"TEXAS",48,"ANDERSON COUNTY",1,"Flood","2016"
"MISSOURI",29,"ANDREW COUNTY",3,"Flood","2019"
"MISSOURI",29,"ANDREW COUNTY",3,"Severe Storm(s)","2019"
"MISSOURI",29,"ANDREW COUNTY",3,"Severe Storm(s)","2015"
"MAINE",23,"ANDROSCOGGIN COUNTY",1,"Snow","2015"
"TEXAS",48,"ANGELINA COUNTY",5,"Flood","2016"
"TEXAS",48,"ANGELINA COUNTY",5,"Severe Storm(s)","2015"
"MARYLAND",24,"ANNE ARUNDEL COUNTY",3,"Snow","2016"
"NORTH CAROLINA",37,"ANSON COUNTY",7,"Hurricane","2018"
"NORTH CAROLINA",37,"ANSON COUNTY",7,"Hurricane","2016"
"NORTH CAROLINA",37,"ANSON COUNTY",7,"Hurricane","2019"
"NEBRASKA",31,"ANTELOPE COUNTY",3,"Snow","2018"
"NEBRASKA",31,"ANTELOPE COUNTY",3,"Flood","2019"
"IOWA",19,"APPANOOSE COUNTY",7,"Flood","2019"
"IOWA",19,"APPANOOSE COUNTY",7,"Severe Storm(s)","2015"
"GEORGIA",13,"APPLING COUNTY",1,"Tornado","2017"
"GEORGIA",13,"APPLING COUNTY",1,"Hurricane","2017"
"GEORGIA",13,"APPLING COUNTY",1,"Hurricane","2018"
"GEORGIA",13,"APPLING COUNTY",1,"Hurricane","2016"
"VIRGINIA",51,"APPOMATTOX COUNTY",11,"Hurricane","2018"
"TEXAS",48,"ARANSAS COUNTY",7,"Hurricane","2017"
"TEXAS",48,"ARCHER COUNTY",9,"Flood","2019"
"TEXAS",48,"ARCHER COUNTY",9,"Severe Storm(s)","2015"
"ARKANSAS",5,"ARKANSAS COUNTY",1,"Severe Storm(s)","2016"
"ARKANSAS",5,"ARKANSAS COUNTY",1,"Flood","2019"
"VIRGINIA",51,"ARLINGTON COUNTY",13,"Hurricane","2018"
"VIRGINIA",51,"ARLINGTON COUNTY",13,"Snow","2016"
"NEBRASKA",31,"ARTHUR COUNTY",5,"Flood","2019"
"NEBRASKA",31,"ARTHUR COUNTY",5,"Severe Storm(s)","2015"
"LOUISIANA",22,"ASCENSION PARISH",5,"Hurricane","2019"
"LOUISIANA",22,"ASCENSION PARISH",5,"Flood","2016"
"LOUISIANA",22,"ASCENSION PARISH",5,"Coastal Storm","2019"
"NORTH CAROLINA",37,"ASHE COUNTY",9,"Hurricane","2018"
"NORTH CAROLINA",37,"ASHE COUNTY",9,"Hurricane","2019"
"WISCONSIN",55,"ASHLAND COUNTY",3,"Flood","2018"
