"state","s_fips","county","c_fips","weather_type","year"
"GEORGIA",13,"COLUMBIA COUNTY",73,"Hurricane","2018"
"GEORGIA",13,"COLUMBIA COUNTY",73,"Hurricane","2017"
"NEW YORK",36,"COLUMBIA COUNTY",21,"Snow","2017"
"OREGON",41,"COLUMBIA COUNTY",9,"Severe Storm(s)","2016"
"OREGON",41,"COLUMBIA COUNTY",9,"Severe Storm(s)","2017"
"PENNSYLVANIA",42,"COLUMBIA COUNTY",37,"Severe Storm(s)","2018"
"WASHINGTON",53,"COLUMBIA COUNTY",13,"Flood","2017"
"OHIO",39,"COLUMBIANA COUNTY",29,"Flood","2018"
"OHIO",39,"COLUMBIANA COUNTY",29,"Tornado","2019"
"NORTH CAROLINA",37,"COLUMBUS COUNTY",47,"Hurricane","2019"
"NORTH CAROLINA",37,"COLUMBUS COUNTY",47,"Hurricane","2016"
"NORTH CAROLINA",37,"COLUMBUS COUNTY",47,"Hurricane","2018"
"CALIFORNIA",6,"COLUSA COUNTY",11,"Flood","2017"
"CALIFORNIA",6,"COLUSA COUNTY",11,"Severe Storm(s)","2019"
"TEXAS",48,"COMAL COUNTY",91,"Severe Storm(s)","2015"
"TEXAS",48,"COMAL COUNTY",91,"Hurricane","2017"
"KANSAS",20,"COMANCHE COUNTY",33,"Severe Storm(s)","2019"
"KANSAS",20,"COMANCHE COUNTY",33,"Fire","2016"
"KANSAS",20,"COMANCHE COUNTY",33,"Fire","2017"
"KANSAS",20,"COMANCHE COUNTY",33,"Severe Ice Storm","2017"
"OKLAHOMA",40,"COMANCHE COUNTY",31,"Severe Storm(s)","2016"
"OKLAHOMA",40,"COMANCHE COUNTY",31,"Severe Storm(s)","2015"
"OKLAHOMA",40,"COMANCHE COUNTY",31,"Flood","2016"
"TEXAS",48,"COMANCHE COUNTY",93,"Flood","2019"
"TEXAS",48,"COMANCHE COUNTY",93,"Flood","2016"
"TEXAS",48,"COMANCHE COUNTY",93,"Severe Storm(s)","2015"
"LOUISIANA",22,"CONCORDIA PARISH",29,"Flood","2016"
"LOUISIANA",22,"CONCORDIA PARISH",29,"Flood","2019"
"LOUISIANA",22,"CONCORDIA PARISH",29,"Coastal Storm","2019"
"ALABAMA",1,"CONECUH COUNTY",35,"Hurricane","2017"
"ALABAMA",1,"CONECUH COUNTY",35,"Severe Storm(s)","2016"
"ALABAMA",1,"CONECUH COUNTY",35,"Hurricane","2018"
"CALIFORNIA",6,"CONTRA COSTA COUNTY",13,"Flood","2017"
"CALIFORNIA",6,"CONTRA COSTA COUNTY",13,"Severe Storm(s)","2017"
"ARKANSAS",5,"CONWAY COUNTY",29,"Flood","2019"
"ARKANSAS",5,"CONWAY COUNTY",29,"Severe Storm(s)","2017"
"GEORGIA",13,"COOK COUNTY",75,"Hurricane","2017"
"GEORGIA",13,"COOK COUNTY",75,"Hurricane","2018"
"GEORGIA",13,"COOK COUNTY",75,"Tornado","2017"
"TEXAS",48,"COOKE COUNTY",97,"Severe Storm(s)","2015"
"MISSOURI",29,"COOPER COUNTY",53,"Flood","2016"
"MISSOURI",29,"COOPER COUNTY",53,"Severe Storm(s)","2019"
"NEW HAMPSHIRE",33,"COOS COUNTY",7,"Severe Storm(s)","2017"
"NEW HAMPSHIRE",33,"COOS COUNTY",7,"Severe Storm(s)","2018"
"OREGON",41,"COOS COUNTY",11,"Severe Storm(s)","2019"
"OREGON",41,"COOS COUNTY",11,"Severe Storm(s)","2016"
"ALABAMA",1,"COOSA COUNTY",37,"Hurricane","2017"
"NEW YORK",36,"CORTLAND COUNTY",23,"Snow","2017"
"NEW YORK",36,"CORTLAND COUNTY",23,"Severe Storm(s)","2019"
"TEXAS",48,"CORYELL COUNTY",99,"Severe Storm(s)","2015"
"TEXAS",48,"CORYELL COUNTY",99,"Flood","2019"
"TEXAS",48,"CORYELL COUNTY",99,"Flood","2016"
"OHIO",39,"COSHOCTON COUNTY",31,"Flood","2018"
"COLORADO",8,"COSTILLA COUNTY",23,"Fire","2018"
"TEXAS",48,"COTTLE COUNTY",101,"Severe Storm(s)","2016"
"OKLAHOMA",40,"COTTON COUNTY",33,"Severe Storm(s)","2015"
"OKLAHOMA",40,"COTTON COUNTY",33,"Severe Storm(s)","2016"
"OKLAHOMA",40,"COTTON COUNTY",33,"Tornado","2017"
"OKLAHOMA",40,"COTTON COUNTY",33,"Flood","2016"
"MINNESOTA",27,"COTTONWOOD COUNTY",33,"Flood","2018"
"MINNESOTA",27,"COTTONWOOD COUNTY",33,"Flood","2019"
"VIRGINIA",51,"COVINGTON CITY",580,"Hurricane","2018"
"ALABAMA",1,"COVINGTON COUNTY",39,"Hurricane","2017"
"ALABAMA",1,"COVINGTON COUNTY",39,"Hurricane","2018"
"ALABAMA",1,"COVINGTON COUNTY",39,"Severe Storm(s)","2016"
"MISSISSIPPI",28,"COVINGTON COUNTY",31,"Severe Storm(s)","2019"
"MISSISSIPPI",28,"COVINGTON COUNTY",31,"Flood","2016"
"GEORGIA",13,"COWETA COUNTY",77,"Hurricane","2017"
"KANSAS",20,"COWLEY COUNTY",35,"Severe Storm(s)","2019"
"KANSAS",20,"COWLEY COUNTY",35,"Severe Storm(s)","2015"
"KANSAS",20,"COWLEY COUNTY",35,"Severe Storm(s)","2016"
"WASHINGTON",53,"COWLITZ COUNTY",15,"Flood","2016"
"OKLAHOMA",40,"CRAIG COUNTY",35,"Severe Storm(s)","2015"
"OKLAHOMA",40,"CRAIG COUNTY",35,"Severe Storm(s)","2016"
"OKLAHOMA",40,"CRAIG COUNTY",35,"Severe Storm(s)","2019"
"OKLAHOMA",40,"CRAIG COUNTY",35,"Severe Storm(s)","2017"
"VIRGINIA",51,"CRAIG COUNTY",45,"Hurricane","2018"
"ARKANSAS",5,"CRAIGHEAD COUNTY",31,"Severe Storm(s)","2017"
"NORTH CAROLINA",37,"CRAVEN COUNTY",49,"Hurricane","2019"
"NORTH CAROLINA",37,"CRAVEN COUNTY",49,"Hurricane","2016"
"NORTH CAROLINA",37,"CRAVEN COUNTY",49,"Hurricane","2018"
"ARKANSAS",5,"CRAWFORD COUNTY",33,"Flood","2019"
"ARKANSAS",5,"CRAWFORD COUNTY",33,"Severe Storm(s)","2015"
"ARKANSAS",5,"CRAWFORD COUNTY",33,"Severe Storm(s)","2016"
"GEORGIA",13,"CRAWFORD COUNTY",79,"Hurricane","2017"
"GEORGIA",13,"CRAWFORD COUNTY",79,"Hurricane","2018"
"GEORGIA",13,"CRAWFORD COUNTY",79,"Severe Storm(s)","2016"
"INDIANA",18,"CRAWFORD COUNTY",25,"Flood","2018"
"IOWA",19,"CRAWFORD COUNTY",47,"Flood","2019"
"KANSAS",20,"CRAWFORD COUNTY",37,"Severe Storm(s)","2019"
"KANSAS",20,"CRAWFORD COUNTY",37,"Snow","2017"
"MISSOURI",29,"CRAWFORD COUNTY",55,"Flood","2017"
"MISSOURI",29,"CRAWFORD COUNTY",55,"Flood","2016"
"MISSOURI",29,"CRAWFORD COUNTY",55,"Severe Storm(s)","2015"
"WISCONSIN",55,"CRAWFORD COUNTY",23,"Flood","2016"
"WISCONSIN",55,"CRAWFORD COUNTY",23,"Flood","2018"
"WISCONSIN",55,"CRAWFORD COUNTY",23,"Severe Storm(s)","2017"
"OKLAHOMA",40,"CREEK COUNTY",37,"Fire","2016"
"OKLAHOMA",40,"CREEK COUNTY",37,"Severe Storm(s)","2019"
"OKLAHOMA",40,"CREEK COUNTY",37,"Severe Storm(s)","2015"
"ALABAMA",1,"CRENSHAW COUNTY",41,"Hurricane","2017"
"ALABAMA",1,"CRENSHAW COUNTY",41,"Severe Storm(s)","2016"
"ALABAMA",1,"CRENSHAW COUNTY",41,"Hurricane","2018"
"GEORGIA",13,"CRISP COUNTY",81,"Tornado","2017"
"GEORGIA",13,"CRISP COUNTY",81,"Hurricane","2018"
"GEORGIA",13,"CRISP COUNTY",81,"Hurricane","2017"
"KENTUCKY",21,"CRITTENDEN COUNTY",55,"Severe Storm(s)","2019"
"KENTUCKY",21,"CRITTENDEN COUNTY",55,"Severe Storm(s)","2016"
"KENTUCKY",21,"CRITTENDEN COUNTY",55,"Flood","2018"
"TEXAS",48,"CROSBY COUNTY",107,"Severe Storm(s)","2016"
"ARKANSAS",5,"CROSS COUNTY",37,"Severe Storm(s)","2017"
"ALABAMA",1,"CULLMAN COUNTY",43,"Hurricane","2017"
"ALABAMA",1,"CULLMAN COUNTY",43,"Severe Storm(s)","2016"
"ALABAMA",1,"CULLMAN COUNTY",43,"Severe Storm(s)","2018"
"VIRGINIA",51,"CULPEPER COUNTY",47,"Hurricane","2018"
"VIRGINIA",51,"CULPEPER COUNTY",47,"Snow","2016"
"KENTUCKY",21,"CUMBERLAND COUNTY",57,"Severe Storm(s)","2015"
"KENTUCKY",21,"CUMBERLAND COUNTY",57,"Severe Storm(s)","2019"
"MAINE",23,"CUMBERLAND COUNTY",5,"Severe Storm(s)","2018"
"MAINE",23,"CUMBERLAND COUNTY",5,"Snow","2015"
"NEW JERSEY",34,"CUMBERLAND COUNTY",11,"Severe Storm(s)","2016"
"NORTH CAROLINA",37,"CUMBERLAND COUNTY",51,"Hurricane","2018"
"NORTH CAROLINA",37,"CUMBERLAND COUNTY",51,"Hurricane","2016"
"NORTH CAROLINA",37,"CUMBERLAND COUNTY",51,"Hurricane","2019"
"PENNSYLVANIA",42,"CUMBERLAND COUNTY",41,"Snow","2016"
"TENNESSEE",47,"CUMBERLAND COUNTY",35,"Severe Ice Storm","2015"
"TENNESSEE",47,"CUMBERLAND COUNTY",35,"Severe Storm(s)","2017"
"VIRGINIA",51,"CUMBERLAND COUNTY",49,"Hurricane","2018"
"NEBRASKA",31,"CUMING COUNTY",39,"Severe Storm(s)","2018"
"NEBRASKA",31,"CUMING COUNTY",39,"Severe Storm(s)","2017"
"NEBRASKA",31,"CUMING COUNTY",39,"Flood","2019"
"NORTH CAROLINA",37,"CURRITUCK COUNTY",53,"Hurricane","2018"
"NORTH CAROLINA",37,"CURRITUCK COUNTY",53,"Hurricane","2016"
"NORTH CAROLINA",37,"CURRITUCK COUNTY",53,"Hurricane","2019"
"OREGON",41,"CURRY COUNTY",15,"Flood","2019"
"OREGON",41,"CURRY COUNTY",15,"Fire","2017"
"OREGON",41,"CURRY COUNTY",15,"Severe Storm(s)","2016"
"OREGON",41,"CURRY COUNTY",15,"Severe Storm(s)","2019"
"COLORADO",8,"CUSTER COUNTY",27,"Fire","2016"
"IDAHO",16,"CUSTER COUNTY",37,"Flood","2017"
"MONTANA",30,"CUSTER COUNTY",17,"Flood","2018"
"NEBRASKA",31,"CUSTER COUNTY",41,"Snow","2018"
"NEBRASKA",31,"CUSTER COUNTY",41,"Flood","2019"
"NEBRASKA",31,"CUSTER COUNTY",41,"Severe Storm(s)","2017"
"OKLAHOMA",40,"CUSTER COUNTY",39,"Severe Storm(s)","2015"
"OKLAHOMA",40,"CUSTER COUNTY",39,"Severe Ice Storm","2015"
"OKLAHOMA",40,"CUSTER COUNTY",39,"Fire","2018"
"OKLAHOMA",40,"CUSTER COUNTY",39,"Severe Storm(s)","2019"
"OKLAHOMA",40,"CUSTER COUNTY",39,"Severe Storm(s)","2016"
"SOUTH DAKOTA",46,"CUSTER COUNTY",33,"Fire","2017"
"SOUTH DAKOTA",46,"CUSTER COUNTY",33,"Flood","2019"
"GEORGIA",13,"DADE COUNTY",83,"Hurricane","2017"
"GEORGIA",13,"DADE COUNTY",83,"Severe Storm(s)","2016"
"GEORGIA",13,"DADE COUNTY",83,"Fire","2016"
"MISSOURI",29,"DADE COUNTY",57,"Flood","2016"
"MISSOURI",29,"DADE COUNTY",57,"Severe Storm(s)","2019"
"MISSOURI",29,"DADE COUNTY",57,"Severe Storm(s)","2015"
"MISSOURI",29,"DADE COUNTY",57,"Flood","2017"
"NEBRASKA",31,"DAKOTA COUNTY",43,"Flood","2019"
"NEBRASKA",31,"DAKOTA COUNTY",43,"Severe Storm(s)","2018"
"ALABAMA",1,"DALE COUNTY",45,"Hurricane","2018"
"ALABAMA",1,"DALE COUNTY",45,"Hurricane","2017"
"ALABAMA",1,"DALE COUNTY",45,"Severe Storm(s)","2016"
"ALABAMA",1,"DALLAS COUNTY",47,"Hurricane","2017"
"ARKANSAS",5,"DALLAS COUNTY",39,"Severe Storm(s)","2016"
"ARKANSAS",5,"DALLAS COUNTY",39,"Severe Storm(s)","2015"
"IOWA",19,"DALLAS COUNTY",49,"Severe Storm(s)","2018"
"IOWA",19,"DALLAS COUNTY",49,"Severe Storm(s)","2015"
"IOWA",19,"DALLAS COUNTY",49,"Flood","2019"
"MISSOURI",29,"DALLAS COUNTY",59,"Flood","2016"
"MISSOURI",29,"DALLAS COUNTY",59,"Flood","2017"
"MISSOURI",29,"DALLAS COUNTY",59,"Severe Storm(s)","2019"
"MISSOURI",29,"DALLAS COUNTY",59,"Severe Storm(s)","2015"
"TEXAS",48,"DALLAS COUNTY",113,"Severe Storm(s)","2015"
"TEXAS",48,"DALLAS COUNTY",113,"Severe Storm(s)","2016"
"TEXAS",48,"DALLAS COUNTY",113,"Hurricane","2017"
"WISCONSIN",55,"DANE COUNTY",25,"Flood","2018"
"MONTANA",30,"DANIELS COUNTY",19,"Flood","2019"
"VIRGINIA",51,"DANVILLE CITY",590,"Hurricane","2018"
"NORTH CAROLINA",37,"DARE COUNTY",55,"Hurricane","2019"
"NORTH CAROLINA",37,"DARE COUNTY",55,"Hurricane","2018"
"NORTH CAROLINA",37,"DARE COUNTY",55,"Hurricane","2016"
"OHIO",39,"DARKE COUNTY",37,"Tornado","2019"
"SOUTH CAROLINA",45,"DARLINGTON COUNTY",31,"Hurricane","2019"
"SOUTH CAROLINA",45,"DARLINGTON COUNTY",31,"Hurricane","2016"
"SOUTH CAROLINA",45,"DARLINGTON COUNTY",31,"Flood","2015"
"SOUTH CAROLINA",45,"DARLINGTON COUNTY",31,"Hurricane","2017"
"SOUTH CAROLINA",45,"DARLINGTON COUNTY",31,"Hurricane","2018"
"SOUTH CAROLINA",45,"DARLINGTON COUNTY",31,"Severe Storm(s)","2015"
"PENNSYLVANIA",42,"DAUPHIN COUNTY",43,"Snow","2016"
"NORTH CAROLINA",37,"DAVIDSON COUNTY",57,"Hurricane","2019"
"NORTH CAROLINA",37,"DAVIDSON COUNTY",57,"Hurricane","2018"
"NORTH CAROLINA",37,"DAVIDSON COUNTY",57,"Hurricane","2016"
"TENNESSEE",47,"DAVIDSON COUNTY",37,"Severe Ice Storm","2015"
"NORTH CAROLINA",37,"DAVIE COUNTY",59,"Hurricane","2019"
"NORTH CAROLINA",37,"DAVIE COUNTY",59,"Hurricane","2016"
"NORTH CAROLINA",37,"DAVIE COUNTY",59,"Hurricane","2018"
"KENTUCKY",21,"DAVIESS COUNTY",59,"Severe Storm(s)","2016"
"KENTUCKY",21,"DAVIESS COUNTY",59,"Flood","2015"
"MISSOURI",29,"DAVIESS COUNTY",61,"Severe Storm(s)","2019"
"MISSOURI",29,"DAVIESS COUNTY",61,"Severe Storm(s)","2015"
"IOWA",19,"DAVIS COUNTY",51,"Severe Storm(s)","2015"
"IOWA",19,"DAVIS COUNTY",51,"Flood","2019"
"UTAH",49,"DAVIS COUNTY",11,"Fire","2019"
"UTAH",49,"DAVIS COUNTY",11,"Fire","2017"
"SOUTH DAKOTA",46,"DAVISON COUNTY",35,"Flood","2019"
"SOUTH DAKOTA",46,"DAVISON COUNTY",35,"Severe Storm(s)","2019"
"NEBRASKA",31,"DAWES COUNTY",45,"Flood","2019"
"NEBRASKA",31,"DAWES COUNTY",45,"Severe Storm(s)","2015"
"GEORGIA",13,"DAWSON COUNTY",85,"Hurricane","2017"
"GEORGIA",13,"DAWSON COUNTY",85,"Severe Ice Storm","2015"
"NEBRASKA",31,"DAWSON COUNTY",47,"Flood","2019"
"SOUTH DAKOTA",46,"DAY COUNTY",37,"Severe Storm(s)","2017"
"SOUTH DAKOTA",46,"DAY COUNTY",37,"Severe Storm(s)","2019"
"SOUTH DAKOTA",46,"DAY COUNTY",37,"Flood","2019"
"LOUISIANA",22,"DE SOTO PARISH",31,"Hurricane","2017"
"LOUISIANA",22,"DE SOTO PARISH",31,"Flood","2016"
"TEXAS",48,"DEAF SMITH COUNTY",117,"Severe Storm(s)","2016"
"INDIANA",18,"DEARBORN COUNTY",29,"Flood","2018"
"GEORGIA",13,"DECATUR COUNTY",87,"Hurricane","2017"
"GEORGIA",13,"DECATUR COUNTY",87,"Hurricane","2018"
"GEORGIA",13,"DECATUR COUNTY",87,"Severe Storm(s)","2016"
"IOWA",19,"DECATUR COUNTY",53,"Flood","2019"
"KANSAS",20,"DECATUR COUNTY",39,"Snow","2017"
"TENNESSEE",47,"DECATUR COUNTY",39,"Flood","2019"
"TENNESSEE",47,"DECATUR COUNTY",39,"Severe Storm(s)","2019"
"ALABAMA",1,"DEKALB COUNTY",49,"Severe Storm(s)","2016"
"ALABAMA",1,"DEKALB COUNTY",49,"Hurricane","2017"
"ALABAMA",1,"DEKALB COUNTY",49,"Severe Storm(s)","2019"
"GEORGIA",13,"DEKALB COUNTY",89,"Hurricane","2017"
"MISSOURI",29,"DEKALB COUNTY",63,"Severe Storm(s)","2015"
"TENNESSEE",47,"DEKALB COUNTY",41,"Severe Ice Storm","2015"
"TENNESSEE",47,"DEKALB COUNTY",41,"Flood","2019"
"CALIFORNIA",6,"DEL NORTE COUNTY",15,"Flood","2017"
"CALIFORNIA",6,"DEL NORTE COUNTY",15,"Severe Storm(s)","2019"
"IOWA",19,"DELAWARE COUNTY",55,"Flood","2016"
"IOWA",19,"DELAWARE COUNTY",55,"Severe Storm(s)","2018"
"NEW YORK",36,"DELAWARE COUNTY",25,"Flood","2018"
"NEW YORK",36,"DELAWARE COUNTY",25,"Snow","2017"
"OKLAHOMA",40,"DELAWARE COUNTY",41,"Severe Storm(s)","2016"
"OKLAHOMA",40,"DELAWARE COUNTY",41,"Severe Storm(s)","2015"
"OKLAHOMA",40,"DELAWARE COUNTY",41,"Tornado","2017"
"OKLAHOMA",40,"DELAWARE COUNTY",41,"Severe Storm(s)","2017"
"OKLAHOMA",40,"DELAWARE COUNTY",41,"Severe Storm(s)","2019"
"TEXAS",48,"DELTA COUNTY",119,"Severe Storm(s)","2015"
"TEXAS",48,"DELTA COUNTY",119,"Severe Storm(s)","2016"
"MISSOURI",29,"DENT COUNTY",65,"Flood","2017"
"MISSOURI",29,"DENT COUNTY",65,"Flood","2016"
"TEXAS",48,"DENTON COUNTY",121,"Severe Storm(s)","2015"
"COLORADO",8,"DENVER COUNTY",31,"Flood","2015"
"IOWA",19,"DES MOINES COUNTY",57,"Flood","2019"
"IOWA",19,"DES MOINES COUNTY",57,"Severe Storm(s)","2015"
"IOWA",19,"DES MOINES COUNTY",57,"Flood","2016"
"OREGON",41,"DESCHUTES COUNTY",17,"Fire","2017"
"OREGON",41,"DESCHUTES COUNTY",17,"Severe Storm(s)","2017"
"ARKANSAS",5,"DESHA COUNTY",41,"Flood","2019"
"ARKANSAS",5,"DESHA COUNTY",41,"Severe Storm(s)","2016"
"FLORIDA",12,"DESOTO COUNTY",27,"Hurricane","2017"
"FLORIDA",12,"DESOTO COUNTY",27,"Hurricane","2019"
"NEBRASKA",31,"DEUEL COUNTY",49,"Snow","2018"
"NEBRASKA",31,"DEUEL COUNTY",49,"Flood","2019"
"SOUTH DAKOTA",46,"DEUEL COUNTY",39,"Flood","2019"
"SOUTH DAKOTA",46,"DEUEL COUNTY",39,"Severe Storm(s)","2017"
"OKLAHOMA",40,"DEWEY COUNTY",43,"Severe Storm(s)","2019"
"OKLAHOMA",40,"DEWEY COUNTY",43,"Severe Storm(s)","2016"
"OKLAHOMA",40,"DEWEY COUNTY",43,"Severe Storm(s)","2017"
"OKLAHOMA",40,"DEWEY COUNTY",43,"Severe Storm(s)","2015"
"OKLAHOMA",40,"DEWEY COUNTY",43,"Severe Ice Storm","2015"
"OKLAHOMA",40,"DEWEY COUNTY",43,"Fire","2018"
"SOUTH DAKOTA",46,"DEWEY COUNTY",41,"Flood","2019"
"SOUTH DAKOTA",46,"DEWEY COUNTY",41,"Severe Storm(s)","2017"
"TEXAS",48,"DEWITT COUNTY",123,"Severe Storm(s)","2015"
"TEXAS",48,"DEWITT COUNTY",123,"Hurricane","2017"
"TEXAS",48,"DICKENS COUNTY",125,"Severe Storm(s)","2016"
"TEXAS",48,"DICKENS COUNTY",125,"Severe Storm(s)","2015"
"VIRGINIA",51,"DICKENSON COUNTY",51,"Hurricane","2018"
"NORTH DAKOTA",38,"DICKEY COUNTY",21,"Flood","2019"
"IOWA",19,"DICKINSON COUNTY",59,"Flood","2019"
"IOWA",19,"DICKINSON COUNTY",59,"Severe Storm(s)","2018"
"KANSAS",20,"DICKINSON COUNTY",41,"Severe Storm(s)","2019"
"TENNESSEE",47,"DICKSON COUNTY",43,"Flood","2019"
"SOUTH CAROLINA",45,"DILLON COUNTY",33,"Hurricane","2016"
"SOUTH CAROLINA",45,"DILLON COUNTY",33,"Hurricane","2019"
"SOUTH CAROLINA",45,"DILLON COUNTY",33,"Hurricane","2017"
"SOUTH CAROLINA",45,"DILLON COUNTY",33,"Flood","2015"
"SOUTH CAROLINA",45,"DILLON COUNTY",33,"Hurricane","2018"
"SOUTH CAROLINA",45,"DILLON COUNTY",33,"Severe Storm(s)","2015"
"TEXAS",48,"DIMMIT COUNTY",127,"Flood","2019"
"VIRGINIA",51,"DINWIDDIE COUNTY",53,"Hurricane","2018"
"FLORIDA",12,"DIXIE COUNTY",29,"Hurricane","2019"
"FLORIDA",12,"DIXIE COUNTY",29,"Hurricane","2018"
"FLORIDA",12,"DIXIE COUNTY",29,"Hurricane","2017"
"FLORIDA",12,"DIXIE COUNTY",29,"Hurricane","2016"
"NEBRASKA",31,"DIXON COUNTY",51,"Flood","2019"
"NEBRASKA",31,"DIXON COUNTY",51,"Severe Storm(s)","2018"
"WEST VIRGINIA",54,"DODDRIDGE COUNTY",17,"Severe Storm(s)","2015"
"WEST VIRGINIA",54,"DODDRIDGE COUNTY",17,"Flood","2015"
"WEST VIRGINIA",54,"DODDRIDGE COUNTY",17,"Severe Storm(s)","2017"
"GEORGIA",13,"DODGE COUNTY",91,"Hurricane","2018"
"GEORGIA",13,"DODGE COUNTY",91,"Hurricane","2017"
"MINNESOTA",27,"DODGE COUNTY",39,"Flood","2019"
"NEBRASKA",31,"DODGE COUNTY",53,"Severe Storm(s)","2017"
"NEBRASKA",31,"DODGE COUNTY",53,"Flood","2019"
"KANSAS",20,"DONIPHAN COUNTY",43,"Severe Storm(s)","2015"
"KANSAS",20,"DONIPHAN COUNTY",43,"Severe Storm(s)","2019"
"TEXAS",48,"DONLEY COUNTY",129,"Severe Storm(s)","2016"
"GEORGIA",13,"DOOLY COUNTY",93,"Hurricane","2017"
"GEORGIA",13,"DOOLY COUNTY",93,"Hurricane","2018"
"SOUTH CAROLINA",45,"DORCHESTER COUNTY",35,"Hurricane","2019"
"SOUTH CAROLINA",45,"DORCHESTER COUNTY",35,"Hurricane","2018"
"SOUTH CAROLINA",45,"DORCHESTER COUNTY",35,"Hurricane","2017"
"SOUTH CAROLINA",45,"DORCHESTER COUNTY",35,"Hurricane","2016"
"SOUTH CAROLINA",45,"DORCHESTER COUNTY",35,"Severe Storm(s)","2015"
"SOUTH CAROLINA",45,"DORCHESTER COUNTY",35,"Flood","2015"
"GEORGIA",13,"DOUGHERTY COUNTY",95,"Tornado","2017"
"GEORGIA",13,"DOUGHERTY COUNTY",95,"Severe Storm(s)","2017"
"GEORGIA",13,"DOUGHERTY COUNTY",95,"Hurricane","2018"
"GEORGIA",13,"DOUGHERTY COUNTY",95,"Hurricane","2017"
"GEORGIA",13,"DOUGLAS COUNTY",97,"Hurricane","2017"
"GEORGIA",13,"DOUGLAS COUNTY",97,"Severe Storm(s)","2016"
"KANSAS",20,"DOUGLAS COUNTY",45,"Severe Storm(s)","2019"
"MISSOURI",29,"DOUGLAS COUNTY",67,"Flood","2017"
"MISSOURI",29,"DOUGLAS COUNTY",67,"Flood","2016"
"MISSOURI",29,"DOUGLAS COUNTY",67,"Severe Storm(s)","2015"
"MISSOURI",29,"DOUGLAS COUNTY",67,"Severe Storm(s)","2019"
"NEBRASKA",31,"DOUGLAS COUNTY",55,"Flood","2019"
"NEBRASKA",31,"DOUGLAS COUNTY",55,"Severe Storm(s)","2017"
"NEVADA",32,"DOUGLAS COUNTY",5,"Severe Storm(s)","2017"
"NEVADA",32,"DOUGLAS COUNTY",5,"Fire","2016"
"NEVADA",32,"DOUGLAS COUNTY",5,"Fire","2019"
"NEVADA",32,"DOUGLAS COUNTY",5,"Fire","2017"
"OREGON",41,"DOUGLAS COUNTY",19,"Fire","2015"
"OREGON",41,"DOUGLAS COUNTY",19,"Severe Storm(s)","2019"
"OREGON",41,"DOUGLAS COUNTY",19,"Flood","2019"
"OREGON",41,"DOUGLAS COUNTY",19,"Fire","2019"
"OREGON",41,"DOUGLAS COUNTY",19,"Severe Storm(s)","2016"
"SOUTH DAKOTA",46,"DOUGLAS COUNTY",43,"Flood","2019"
"SOUTH DAKOTA",46,"DOUGLAS COUNTY",43,"Severe Storm(s)","2019"
"WASHINGTON",53,"DOUGLAS COUNTY",17,"Fire","2015"
"WASHINGTON",53,"DOUGLAS COUNTY",17,"Fire","2018"
"WISCONSIN",55,"DOUGLAS COUNTY",31,"Flood","2018"
"WISCONSIN",55,"DOUGLAS COUNTY",31,"Severe Storm(s)","2016"
"ARKANSAS",5,"DREW COUNTY",43,"Severe Storm(s)","2016"
"IOWA",19,"DUBUQUE COUNTY",61,"Severe Storm(s)","2017"
"UTAH",49,"DUCHESNE COUNTY",13,"Fire","2018"
"MASSACHUSETTS",25,"DUKES COUNTY",7,"Severe Storm(s)","2015"
"NEBRASKA",31,"DUNDY COUNTY",57,"Severe Storm(s)","2015"
"MISSOURI",29,"DUNKLIN COUNTY",69,"Flood","2017"
"MISSOURI",29,"DUNKLIN COUNTY",69,"Flood","2016"
"MISSOURI",29,"DUNKLIN COUNTY",69,"Severe Storm(s)","2019"
"NORTH CAROLINA",37,"DUPLIN COUNTY",61,"Hurricane","2018"
"NORTH CAROLINA",37,"DUPLIN COUNTY",61,"Hurricane","2019"
"NORTH CAROLINA",37,"DUPLIN COUNTY",61,"Hurricane","2016"
"NORTH CAROLINA",37,"DURHAM COUNTY",63,"Hurricane","2018"
"NORTH CAROLINA",37,"DURHAM COUNTY",63,"Hurricane","2019"
"NORTH CAROLINA",37,"DURHAM COUNTY",63,"Hurricane","2016"
"NEW YORK",36,"DUTCHESS COUNTY",27,"Snow","2017"
"FLORIDA",12,"DUVAL COUNTY",31,"Hurricane","2017"
"FLORIDA",12,"DUVAL COUNTY",31,"Hurricane","2016"
"FLORIDA",12,"DUVAL COUNTY",31,"Hurricane","2019"
"TEXAS",48,"DUVAL COUNTY",131,"Severe Storm(s)","2015"
"TENNESSEE",47,"DYER COUNTY",45,"Flood","2019"
"COLORADO",8,"EAGLE COUNTY",37,"Fire","2018"
"GEORGIA",13,"EARLY COUNTY",99,"Hurricane","2018"
"GEORGIA",13,"EARLY COUNTY",99,"Hurricane","2017"
"GEORGIA",13,"EARLY COUNTY",99,"Severe Storm(s)","2017"
"LOUISIANA",22,"EAST BATON ROUGE PARISH",33,"Flood","2016"
"LOUISIANA",22,"EAST BATON ROUGE PARISH",33,"Hurricane","2019"
"LOUISIANA",22,"EAST BATON ROUGE PARISH",33,"Coastal Storm","2019"
"LOUISIANA",22,"EAST CARROLL PARISH",35,"Flood","2019"
"LOUISIANA",22,"EAST CARROLL PARISH",35,"Flood","2016"
"LOUISIANA",22,"EAST FELICIANA PARISH",37,"Hurricane","2019"
"LOUISIANA",22,"EAST FELICIANA PARISH",37,"Flood","2016"
