disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
5383,2020-12-03T00:00:00.000Z,BOND FIRE,2020-12-03T00:00:00.000Z,,Fire Management,CA,California,Fire,2020-12-04T00:00:00.000Z,2020-12-04T00:00:00.000Z,,ba16b2c75b4a1b3ec6aece8d864425224a111eba,2021-07-13T23:01:14.098Z,5fca62040eb5d36238b0b622
4572,2020-12-09T00:00:00.000Z,HURRICANE LAURA,2020-08-23T00:00:00.000Z,2020-08-27T00:00:00.000Z,Major Disaster,TX,Texas,Hurricane,2020-12-09T00:00:00.000Z,2020-12-09T00:00:00.000Z,,ea0c0988d7b9214236b66b178ba8ebfb56cba96f,2021-07-13T23:01:14.097Z,5fd15beb0eb5d36238720d5f
4573,2020-12-10T00:00:00.000Z,HURRICANE ZETA,2020-10-28T00:00:00.000Z,2020-10-29T00:00:00.000Z,Major Disaster,AL,Alabama,Hurricane,2020-12-10T00:00:00.000Z,2020-12-11T00:00:00.000Z,,b5218bceacfa37ac39a6dfedc6399feab8167af2,2021-07-13T23:01:14.096Z,5fd2a8cc0eb5d36238f07d44
4574,2020-12-11T00:00:00.000Z,TROPICAL STORM ISAIAS,2020-08-04T00:00:00.000Z,2020-08-04T00:00:00.000Z,Major Disaster,NJ,New Jersey,Hurricane,2020-12-12T00:00:00.000Z,2020-12-12T00:00:00.000Z,,c6931e4445d932af37aee3049591d0885a6b27f3,2021-07-13T23:01:14.095Z,5fd40d080eb5d36238990864
4575,2020-12-21T00:00:00.000Z,SEVERE WINTER STORM,2020-10-26T00:00:00.000Z,2020-10-29T00:00:00.000Z,Major Disaster,OK,Oklahoma,Severe Ice Storm,2020-12-21T00:00:00.000Z,2020-12-21T00:00:00.000Z,,d1c42cf9dc8a72b09c9b00979ef293b65708fb44,2021-07-13T23:01:14.038Z,5fe0f1047ca5424f38e897b9
4576,2020-12-31T00:00:00.000Z,HURRICANE ZETA,2020-10-28T00:00:00.000Z,2020-10-29T00:00:00.000Z,Major Disaster,MS,Mississippi,Hurricane,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,,359487131dcab02426784b76cf6314321a17e18c,2021-07-13T23:01:14.038Z,5fee9e977ca5424f38391073
3552,2021-01-05T00:00:00.000Z,EXPLOSION,2020-12-25T00:00:00.000Z,2020-12-25T00:00:00.000Z,Emergency,TN,Tennessee,Other,2021-01-05T00:00:00.000Z,2021-06-30T00:00:00.000Z,2021-06-30T00:00:00.000Z,136efedb87bcdce7a7227f6ba12673404889929d,2021-07-13T23:01:14.038Z,5ff4bc307ca5424f380a5944
3553,2021-01-11T00:00:00.000Z,59TH PRESIDENTIAL INAUGURATION,2021-01-11T00:00:00.000Z,2021-01-24T00:00:00.000Z,Emergency,DC,District of Columbia,Other,2021-01-11T00:00:00.000Z,2021-01-11T00:00:00.000Z,,64215742543f0d4ad5470617dcbf15a265cc89de,2021-07-13T23:01:14.037Z,5ffce6e0a41acb24f2bec41e
4577,2021-01-12T00:00:00.000Z,HURRICANE ZETA,2020-10-26T00:00:00.000Z,2020-10-29T00:00:00.000Z,Major Disaster,LA,Louisiana,Hurricane,2021-01-12T00:00:00.000Z,2021-01-12T00:00:00.000Z,,4d829195ada3b5bada39d1e4c89e97c46a88132c,2021-07-13T23:01:14.037Z,5ffdf207a41acb24f2b6335d
4579,2021-01-12T00:00:00.000Z,TROPICAL STORM ZETA,2020-10-29T00:00:00.000Z,2020-10-29T00:00:00.000Z,Major Disaster,GA,Georgia,Hurricane,2021-01-12T00:00:00.000Z,2021-01-12T00:00:00.000Z,,18690648891eff3390dde59d05320e7e6b30316a,2021-07-13T23:01:14.037Z,5ffe0978a41acb24f2e1773b
4578,2021-01-12T00:00:00.000Z,STRAIGHT-LINE WINDS,2020-09-07T00:00:00.000Z,2020-09-08T00:00:00.000Z,Major Disaster,UT,Utah,Severe Storm(s),2021-01-12T00:00:00.000Z,2021-01-12T00:00:00.000Z,,55d0628800e3cb96b314b11ebb4aa0c670dc6902,2021-07-13T23:01:14.037Z,5ffe0e32a41acb24f2eae217
4580,2021-01-12T00:00:00.000Z,TROPICAL STORM ISAIAS,2020-08-04T00:00:00.000Z,2020-08-04T00:00:00.000Z,Major Disaster,CT,Connecticut,Hurricane,2021-01-13T00:00:00.000Z,2021-01-13T00:00:00.000Z,,d7717bd6d7a3c008b8a11f130672d9d5070b0839,2021-07-13T23:01:14.037Z,5ffe5928a41acb24f2769fba
4581,2021-01-15T00:00:00.000Z,WILDFIRES,2020-09-06T00:00:00.000Z,2020-11-05T00:00:00.000Z,Major Disaster,CO,Colorado,Fire,2021-01-15T00:00:00.000Z,2021-01-15T00:00:00.000Z,,acaf2e679d26af435a42b1c845f1f9a2403c9ff5,2021-07-13T23:01:14.037Z,600210b7a41acb24f2a1a50d
4582,2021-02-02T00:00:00.000Z,COVID-19 PANDEMIC,2020-01-20T00:00:00.000Z,,Major Disaster,AZ,Arizona,Biological,2021-02-02T00:00:00.000Z,2021-02-02T00:00:00.000Z,,515282e00beca09150cd5b57a4e3afd03cb668bc,2021-07-13T23:01:14.037Z,60199cd9a41acb24f20d95b7
